STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Loại chứng khoán,Thị trường,Ngày hủy ĐK,Lý do
11,CMWG2113,VN0CMWG21133,Chứng quyền MWG/VCSC/M/Au/T/A6,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
12,CPNJ2110,VN0CPNJ21105,Chứng quyền PNJ/VCSC/M/Au/T/A5,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
13,CFPT2111,VN0CFPT21118,Chứng quyền FPT/VCSC/M/Au/T/A4,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
14,CACB2103,VN0CACB21032,Chứng quyền ACB/VCSC/M/Au/T/A1,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
15,CSTB2112,VN0CSTB21129,Chứng quyền STB/VCSC/M/Au/T/A2,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
16,CVRE2114,VN0CVRE21147,Chứng quyền VRE/VCSC/M/Au/T/A1,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
17,HTK,VN000000HTK8,Cổ phiếu Công ty cổ phần Đăng kiểm xe cơ giới Hải Dương,Cổ phiếu,UpCOM,17/05/2022,Công ty cổ phần Đăng kiểm xe cơ giới Hải Dương là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
18,BVBS17028,VNBVBS170283,Trái phiếu Ngân hàng Chính sách Xã hội đợt 8/2017,Trái phiếu,Trái phiếu chuyên biệt,16/05/2022,Trái phiếu đáo hạn
19,HGR,VN000000HGR0,Cổ phiếu Công ty cổ phần Tài Nguyên và Môi trường Hậu Giang,Cổ phiếu,UpCOM,16/05/2022,Do Công ty cổ phần Tài nguyên và Môi trường Hậu Giang là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
20,HGC,VN000000HGC2,Cổ phiếu Công ty cổ phần Quy hoạch Kiến trúc và Đầu tư Xây dựng Hậu Giang,Cổ phiếu,UpCOM,16/05/2022,Do Công ty cổ phần Quy hoạch Kiến trúc và Đầu tư xây dựng Hậu Giang là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD
11,CMWG2113,VN0CMWG21133,Chứng quyền MWG/VCSC/M/Au/T/A6,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
12,CPNJ2110,VN0CPNJ21105,Chứng quyền PNJ/VCSC/M/Au/T/A5,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
13,CFPT2111,VN0CFPT21118,Chứng quyền FPT/VCSC/M/Au/T/A4,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
14,CACB2103,VN0CACB21032,Chứng quyền ACB/VCSC/M/Au/T/A1,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
15,CSTB2112,VN0CSTB21129,Chứng quyền STB/VCSC/M/Au/T/A2,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
16,CVRE2114,VN0CVRE21147,Chứng quyền VRE/VCSC/M/Au/T/A1,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
17,HTK,VN000000HTK8,Cổ phiếu Công ty cổ phần Đăng kiểm xe cơ giới Hải Dương,Cổ phiếu,UpCOM,17/05/2022,Công ty cổ phần Đăng kiểm xe cơ giới Hải Dương là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
18,BVBS17028,VNBVBS170283,Trái phiếu Ngân hàng Chính sách Xã hội đợt 8/2017,Trái phiếu,Trái phiếu chuyên biệt,16/05/2022,Trái phiếu đáo hạn
19,HGR,VN000000HGR0,Cổ phiếu Công ty cổ phần Tài Nguyên và Môi trường Hậu Giang,Cổ phiếu,UpCOM,16/05/2022,Do Công ty cổ phần Tài nguyên và Môi trường Hậu Giang là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
20,HGC,VN000000HGC2,Cổ phiếu Công ty cổ phần Quy hoạch Kiến trúc và Đầu tư Xây dựng Hậu Giang,Cổ phiếu,UpCOM,16/05/2022,Do Công ty cổ phần Quy hoạch Kiến trúc và Đầu tư xây dựng Hậu Giang là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD
21,HAW,VN000000HAW3,Cổ phiếu Công ty cổ phần Cấp nước và Vệ sinh môi trường nông thôn Hậu Giang,Cổ phiếu,UpCOM,16/05/2022,Công ty cổ phần Cấp nước và Vệ sinh môi trường nông thôn Hậu Giang là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
22,VHI,VN000000VHI8,Cổ phiếu Công ty cổ phần Kinh doanh và Đầu tư Việt Hà,Cổ phiếu,UpCOM,05/05/2022,Công ty cổ phần Kinh doanh và Đầu tư Việt Hà là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
23,CMSN2104,VN0CMSN21046,Chứng quyền MSN/ACBS/Call/EU/Cash/9M/09,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
24,HAB,VN000000HAB7,Cổ phiếu Công ty cổ phần Sách và Thiết bị trường học Hà Nội,Cổ phiếu,UpCOM,05/05/2022,Do Công ty cổ phần Sách và Thiết bị trường học Hà Nội là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
25,CVHM2114,VN0CVHM21141,Chứng quyền.VHM.KIS.M.CA.T.09,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
26,CMBB2109,VN0CMBB21096,Chứng quyền.MBB.KIS.M.CA.T.02,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
27,CVRE2113,VN0CVRE21139,Chứng quyền.VRE.KIS.M.CA.T.13,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
28,CVRE2105,VN0CVRE21055,Chứng quyền VRE/ACBS/Call/EU/cash/9M/08,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
29,CVNM2113,VN0CVNM21131,Chứng quyền.VNM.KIS.M.CA.T.11,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
30,CPNJ2109,VN0CPNJ21097,Chứng quyền.PNJ.KIS.M.CA.T.01,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
31,CHPG2118,VN0CHPG21186,Chứng quyền.HPG.KIS.M.CA.T.14,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
32,CTCB2105,VN0CTCB21057,Chứng quyền TCB/ACBS/Call/EU/Cash/9M/06,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
33,CVIC2108,VN0CVIC21082,Chứng quyền.VIC.KIS.M.CA.T.12,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
34,GTN,VN000000GTN4,Cổ phiếu Công ty cổ phần GTNFOODS,Cổ phiếu,HOSE,04/05/2022,Công ty cổ phần GTNFOODS hoán đổi cổ phiếu để sáp nhập vào Tổng Công ty Chăn nuôi Việt Nam - CTCP
35,HGA,VN000000HGA6,Cổ phiếu Công ty cổ phần Nông nghiệp Công nghệ cao Hậu Giang,Cổ phiếu,UpCOM,29/04/2022,Công ty cổ phần Nông nghiệp Công nghệ cao Hậu Giang là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
36,DTF,VN000000DTF7,Cổ phiếu CTCP Thực phẩm và Nước giải khát Dona Newtower,Cổ phiếu,UpCOM,28/04/2022,Công ty cổ phần Thực phẩm và Nước giải khát Dona Newtower hủy tư cách công ty đại chúng.
37,VIS,VN000000VIS5,Cổ phiếu Công ty Cổ phần Thép Việt ý,Cổ phiếu,HOSE,28/04/2022,Theo đề nghị của Công ty cổ phần Thép Việt – Ý do đã hủy tư cách công ty đại chúng.
38,CKDH2107,VN0CKDH21077,Chứng quyền.KDH.KIS.M.CA.T.06,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
39,CHDB2103,VN0CHDB21035,Chứng quyền.HDB.KIS.M.CA.T.08,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
40,CSTB2110,VN0CSTB21103,Chứng quyền.STB.KIS.M.CA.T.13,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
41,CVIC2106,VN0CVIC21066,Chứng quyền.VIC.KIS.M.CA.T.11,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
42,CPDR2103,VN0CPDR21034,Chứng quyền.PDR.KIS.M.CA.T.03,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
43,CVJC2103,VN0CVJC21031,Chứng quyền.VJC.KIS.M.CA.T.07,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
44,CVHM2111,VN0CVHM21117,Chứng quyền.VHM.KIS.M.CA.T.08,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
45,CNVL2104,VN0CNVL21042,Chứng quyền.NVL.KIS.M.CA.T.07,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
46,CHPG2114,VN0CHPG21145,Chứng quyền.HPG.KIS.M.CA.T.13,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
47,CVRE2110,VN0CVRE21105,Chứng quyền.VRE.KIS.M.CA.T.12,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
48,CVNM2111,VN0CVNM21115,Chứng quyền.VNM.KIS.M.CA.T.10,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
49,CMSN2108,VN0CMSN21087,Chứng quyền.MSN.KIS.M.CA.T.12,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
50,MVT,VN000000MVT5,Cổ phiếu Công ty cổ phần May Việt Thịnh,Cổ phiếu,UpCOM,26/04/2022,Công ty cổ phần May Việt Thịnh hủy tư cách công ty đại chúng.
51,SPS,VN000000SPS6,Cổ phiếu Công ty cổ phần Dịch vụ Dầu khí Sài Gòn,Cổ phiếu,UpCOM,21/04/2022,Công ty cổ phần Dịch vụ Dầu khí Sài Gòn đề nghị hủy đăng ký chứng khoán do không thuộc đối tượng phải đăng ký giao dịch chứng khoán theo quy định tại Thông tư số 32/2021/TT-BTC ngày 17/05/2021 của Bộ Tài chính.
52,TSP119001,VNTSP1190010,Trái phiếu Công ty cổ phần Điện Mặt trời Trung Nam,Trái phiếu,Đại chúng chưa niêm yết,21/04/2022,Theo đề nghị của Tổ chức phát hành liên quan đến thay thế đại lý đăng ký lưu ký trái phiếu
53,HNE,VN000000HNE4,Cổ phiếu Công ty cổ phần Hanel,Cổ phiếu,UpCOM,21/04/2022,Do Công ty cổ phần Hanel là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
54,CVPB2111,VN0CVPB21113,Chứng quyền CVPB02MBS21CE,Chứng quyền,HOSE,21/04/2022,Hủy niêm yết do đáo hạn
55,CMWG2114,VN0CMWG21141,Chứng quyền CMWG02MBS21CE,Chứng quyền,HOSE,21/04/2022,Hủy niêm yết do đáo hạn
56,PPV,VN000000PPV6,Cổ phiếu Công ty cổ phần Phốt pho Việt Nam,Cổ phiếu,UpCOM,20/04/2022,Công ty cổ phần Phốt pho Việt Nam hủy tư cách công ty đại chúng.
57,IPH,VN000000IPH0,Cổ phiếu Công ty cổ phần In và Phát hành biểu mẫu Thống kê,Cổ phiếu,UpCOM,20/04/2022,Công ty cổ phần In và Phát hành Biểu mẫu thống kê là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
58,QH072219,VN0QH0722194,Trái phiếu Chính phủ,Trái phiếu,Trái phiếu chuyên biệt,19/04/2022,Trái phiếu đáo hạn
59,TSV,VN000000TSV2,Cổ phiếu Công ty cổ phần Việt Sáng Tạo,Cổ phiếu,UpCOM,19/04/2022,Công ty cổ phần Việt Sáng Tạo hủy tư cách Công ty đại chúng.
60,HUX,VN000000HUX9,Cổ phiếu Công ty cổ phần Khoáng sản Thừa Thiên Huế,Cổ phiếu,UpCOM,14/04/2022,Công ty cổ phần Khoáng sản Thừa Thiên Huế là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
61,TD1722380,VNTD17223809,Trái phiếu Chính phủ đấu thầu đợt 63/2017,Trái phiếu,Trái phiếu chuyên biệt,14/04/2022,Trái phiếu đáo hạn
62,CT5,VN000000CT58,Cổ phiếu Công ty Cổ phần 319.5,Cổ phiếu,UpCOM,14/04/2022,Do Công ty cổ phần 319.5 là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
63,CMBB2107,VN0CMBB21070,Chứng quyền MBB-HSC-MET08,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
64,CMWG2111,VN0CMWF21117,Chứng quyền MWG-HSC-MET09,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
65,CVIC2107,VN0CVIC21074,Chứng quyền VIC-HSC-MET03,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
66,CFPT2109,VN0CFPT21092,Chứng quyền FPT-HSC-MET08,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
67,CVNM2112,VN0CVNM21123,Chứng quyền VNM-HSC-MET07,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
68,CMSN2110,VN0CMSN21103,Chứng quyền MSN-HSC-MET04,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
69,GTK,VN000000GTK0,Cổ phiếu Công ty cổ phần Giầy Thụy Khuê,Cổ phiếu,UpCOM,08/04/2022,"Công ty cổ phần Giày Thụy Khuê là doanh nghiệp cổ phần hóa đã thực hiện đăng ký giao dịch trên hệ thống giao dịch UPCOM trước ngày Luật Chứng khoán số 54/2019/QH14 có hiệu lực thi hành nhưng chưa được Ủy ban Chứng khoán Nhà nước xác nhận hoàn tất việc đăng ký công ty đại chúng, thuộc trường hợp hủy đăng ký giao dịch theo quy định tại khoản 8 điều 310 Nghị định 155/2020/NĐ-CP ngày 31/12/2020 của Chính phủ quy định chi tiết thi hành một số điều của Luật Chứng khoán."
70,CVPB2110,VN0CVPB21105,Chứng quyền VPB/BSC/C/6M/EU/Cash/2021-01,Chứng quyền,HOSE,07/04/2022,Hủy niêm yết do đáo hạn
71,CTCB2111,VN0CTCB21115,Chứng quyền TCB/BSC/C/6M/EU/Cash/2021-01,Chứng quyền,HOSE,07/04/2022,Hủy niêm yết do đáo hạn
72,CVIC2110,VN0CVIC21108,Chứng quyền CVIC01MBS21CE,Chứng quyền,HOSE,07/04/2022,Hủy niêm yết do đáo hạn
73,CTPB2101,VN0CTPB21018,Chứng quyền CTPB01MBS21CE,Chứng quyền,HOSE,07/04/2022,Hủy niêm yết do đáo hạn
74,TTU,VN000000TTU2,Cổ phiếu Công ty cổ phần Dịch vụ Đô Thị Tân Thành,Cổ phiếu,UpCOM,29/03/2022,Công ty cổ phần Dịch vụ Đô Thị Tân Thành là doanh nghiệp nhà nước cổ phần hóa năm 2009 không đáp ứng điều kiện là công ty đại chúng đề nghị hủy Đăng ký chứng khoán do không thuộc đối tượng phải đăng ký giao dịch chứng khoán theo quy định tại Thông tư số 32/2021/TT-BTC ngày 17/05/2021 của Bộ Tài chính.
75,BVBS17027,VNBVBS170275,Trái phiếu Ngân hàng Chính sách Xã hội đợt 7/2017,Trái phiếu,Trái phiếu chuyên biệt,28/03/2022,Trái phiếu đáo hạn
76,KSK,VN000000KSK4,Cổ phiếu Công ty cổ phần Khoáng sản luyện kim màu,Cổ phiếu,UpCOM,24/03/2022,Do Công ty không còn đáp ứng điều kiện là công ty đại chúng
77,CMWG2104,VN0CMWG21042,Chứng quyền MWG/ACBS/Call/EU/cash/12M/04,Chứng quyền,HOSE,23/03/2022,Hủy niêm yết do đáo hạn
78,BVBS17026,VNBVBS170267,Trái phiếu Ngân hàng Chính sách Xã hội đợt 6/2017,Trái phiếu,Trái phiếu chuyên biệt,21/03/2022,Trái phiếu đáo hạn
79,FUCTVGF2,VN0FUCTVGF21,Quỹ Đầu tư Tăng trưởng Thiên Việt 2,Chứng chỉ quỹ,HOSE,17/03/2022,Quỹ giải thể trước hạn theo Nghị quyết Đại hội nhà đầu tư bất thường số 0601/2022/NQ-ĐHNĐT ngày 06/01/2022
80,CMSN2107,VN0CMSN21079,Chứng quyền MSN/VCSC/M/Au/T/A3,Chứng quyền,HOSE,15/03/2022,Hủy niêm yết do đáo hạn
91,CVRE2109,VN0CVRE21097,Chứng quyền VRE-HSC-MET07,Chứng quyền,HOSE,08/03/2022,hủy niêm yết do đáo hạn
92,CVHM2110,VN0CVHM21109,Chứng quyền VHM-HSC-MET06,Chứng quyền,HOSE,08/03/2022,Hủy niêm yết do đáo hạn
93,CTCB2109,VN0CTCB21099,Chứng quyền TCB-HSC-MET06,Chứng quyền,HOSE,08/03/2022,hủy niêm yết do đáo hạn
94,BVBS17024,VNBVBS170242,Trái phiếu Ngân hàng Chính sách Xã hội đợt 4/2017,Trái phiếu,Trái phiếu chuyên biệt,07/03/2022,Trái phiếu đáo hạn
95,I10,VN000000I108,Cổ phiếu Công ty cổ phần Đầu tư xây dựng số 10 IDICO,Cổ phiếu,UpCOM,07/03/2022,Công ty cổ phần Đầu tư xây dựng số 10 IDICO không còn đáp ứng điều kiện là Công ty đại chúng.
96,VEG,VN000000VEG9,"Cổ phiếu Tổng Công ty Rau quả, Nông sản - CTCP",Cổ phiếu,UpCOM,07/03/2022,"Tổng công ty Rau quả, Nông sản - Công ty cổ phần không còn đáp ứng điều kiện là Công ty đại chúng"
97,CMWG2112,VN0CMWG21125,Chứng quyền MWG/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy đăng ký chứng quyền
98,CFPT2110,VN0CFPT21100,Chứng quyền FPT/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy niêm yết do đáo hạn
99,CVRE2112,VN0CVRE21121,Chứng quyền VRE/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy niêm yết do đáo hạn
100,CMBB2108,VN0CMBB21088,Chứng quyền MBB/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy niêm yết do đáo hạn
91,CVRE2109,VN0CVRE21097,Chứng quyền VRE-HSC-MET07,Chứng quyền,HOSE,08/03/2022,hủy niêm yết do đáo hạn
92,CVHM2110,VN0CVHM21109,Chứng quyền VHM-HSC-MET06,Chứng quyền,HOSE,08/03/2022,Hủy niêm yết do đáo hạn
93,CTCB2109,VN0CTCB21099,Chứng quyền TCB-HSC-MET06,Chứng quyền,HOSE,08/03/2022,hủy niêm yết do đáo hạn
94,BVBS17024,VNBVBS170242,Trái phiếu Ngân hàng Chính sách Xã hội đợt 4/2017,Trái phiếu,Trái phiếu chuyên biệt,07/03/2022,Trái phiếu đáo hạn
95,I10,VN000000I108,Cổ phiếu Công ty cổ phần Đầu tư xây dựng số 10 IDICO,Cổ phiếu,UpCOM,07/03/2022,Công ty cổ phần Đầu tư xây dựng số 10 IDICO không còn đáp ứng điều kiện là Công ty đại chúng.
96,VEG,VN000000VEG9,"Cổ phiếu Tổng Công ty Rau quả, Nông sản - CTCP",Cổ phiếu,UpCOM,07/03/2022,"Tổng công ty Rau quả, Nông sản - Công ty cổ phần không còn đáp ứng điều kiện là Công ty đại chúng"
97,CMWG2112,VN0CMWG21125,Chứng quyền MWG/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy đăng ký chứng quyền
98,CFPT2110,VN0CFPT21100,Chứng quyền FPT/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy niêm yết do đáo hạn
99,CVRE2112,VN0CVRE21121,Chứng quyền VRE/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy niêm yết do đáo hạn
100,CMBB2108,VN0CMBB21088,Chứng quyền MBB/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy niêm yết do đáo hạn
101,ICS,VN000000ICS5,"Cổ phiếu Công ty cổ phần Kiểm định kỹ thuật, an toàn và Tư vấn xây dựng - INCOSAF",Cổ phiếu,UpCOM,25/02/2022,"Công ty cổ phần Kiểm định kỹ thuật, an toàn và Tư vấn xây dựng - INCOSAF là doanh nghiệp cổ phần hóa không thuộc đối tượng phải đăng ký giao dịch chứng khoán theo quy định tại Thông tư số 32/2021/TT-BTC ngày 17/05/2021 của Bộ Tài chính."
102,NCP,VN000000NCP1,Cổ phiếu Công ty cổ phần Nhiệt điện Cẩm Phả - TKV,Cổ phiếu,UpCOM,18/02/2022,Cổ phiếu hết hiệu lực lưu hành do Công ty cổ phần Nhiệt điện Cẩm Phả - TKV hoán đổi cổ phiếu để sáp nhập vào Tổng công ty điện lực TKV - CTCP
103,TD1222012,VNTD12220123,Trái phiếu Chính phủ đấu thầu đợt 09/2012,Trái phiếu,Trái phiếu chuyên biệt,18/02/2022,Trái phiếu đáo hạn
104,GID,VN000000GID8,Cổ phiếu Công ty cổ phần Dệt may Gia Định,Cổ phiếu,Đại chúng chưa niêm yết,17/02/2022,Công ty cổ phần Dệt May Gia Định không đáp ứng điều kiện là Công ty đại chúng.
105,TD1722378,VNTD17223783,Trái phiếu Chính phủ đấu thầu đợt 15/2017,Trái phiếu,Trái phiếu chuyên biệt,16/02/2022,Trái phiếu đáo hạn
106,DAP,VN000000DAP6,Cổ phiếu CTCP Đông á,Cổ phiếu,UpCOM,15/02/2022,Công ty cổ phần Đông Á hủy tư cách công ty đại chúng.
107,BVDB17217,VNBVDB172179,Trái phiếu Ngân hàng Phát triển Việt Nam đợt 5/2017,Trái phiếu,Trái phiếu chuyên biệt,14/02/2022,Trái phiếu đáo hạn
108,QH072216,VN0QH0722160,Trái phiếu Chính phủ,Trái phiếu,Trái phiếu chuyên biệt,11/02/2022,Trái phiếu đáo hạn
109,MCT,VN000000MCT5,Cổ phiếu Công ty cổ phần Kinh doanh Vật tư và Xây dựng,Cổ phiếu,UpCOM,11/02/2022,Công ty cổ phần Kinh doanh Vật tư và Xây dựng hủy tư cách công ty đại chúng.
110,CPNJ2108,VN0CPNJ21089,Chứng quyền.PNJ.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,Hủy niêm yết do đáo hạn
111,CSTB2111,VN0CSTB21111,Chứng quyền.STB.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,hủy niêm yết do đáo hạn
112,CTCB2110,VN0CTCB21107,Chứng quyền.TCB.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,hủy niêm yết do đáo hạn
113,CVHM2112,VN0CVHM21125,Chứng quyền.VHM.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,Hủy niêm yết do đáo hạn
114,CPNJ2107,VN0CPNJ21071,Chứng quyền PNJ/VCSC/M/Au/T/A3,Chứng quyền,HOSE,11/02/2022,hủy niêm yết do đáo hạn
115,CMSN2109,VN0CMSN21095,Chứng quyền.MSN.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,Hủy niêm yết do đáo hạn
116,CMWG2109,VN0CMWG21091,Chứng quyền MWG/VCSC/M/Au/T/A4,Chứng quyền,HOSE,11/02/2022,hủy niêm yết do đáo hạn
117,CVHM2109,VN0CVHM21091,Chứng quyền VHM/VCSC/M/Au/T/A1,Chứng quyền,HOSE,11/02/2022,hủy niêm yết do đáo hạn
118,CMBB2105,VN0CMBB21054,Chứng quyền MBB/VCSC/M/Au/T/A2,Chứng quyền,HOSE,11/02/2022,hủy niêm yết do đáo hạn
119,CKDH2106,VN0CKDH21069,Chứng quyền KDH/VCSC/M/Au/T/A1,Chứng quyền,HOSE,11/02/2022,Hủy niêm yết do đáo hạn
120,BVDB17216,VNBVDB172161,Trái phiếu Ngân hàng Phát triển Việt Nam đợt 4/2017,Trái phiếu,Trái phiếu chuyên biệt,08/02/2022,Trái phiếu đáo hạn
