STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Loại chứng khoán,Thị trường,Ngày hủy ĐK,Lý do
59,TSP119001,VNTSP1190010,Trái phiếu Công ty cổ phần Điện Mặt trời Trung Nam,Trái phiếu,Đại chúng chưa niêm yết,21/04/2022,Theo đề nghị của Tổ chức phát hành liên quan đến thay thế đại lý đăng ký lưu ký trái phiếu
60,HNE,VN000000HNE4,Cổ phiếu Công ty cổ phần Hanel,Cổ phiếu,UpCOM,21/04/2022,Do Công ty cổ phần Hanel là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
61,CVPB2111,VN0CVPB21113,Chứng quyền CVPB02MBS21CE,Chứng quyền,HOSE,21/04/2022,Hủy niêm yết do đáo hạn
62,CMWG2114,VN0CMWG21141,Chứng quyền CMWG02MBS21CE,Chứng quyền,HOSE,21/04/2022,Hủy niêm yết do đáo hạn
63,PPV,VN000000PPV6,Cổ phiếu Công ty cổ phần Phốt pho Việt Nam,Cổ phiếu,UpCOM,20/04/2022,Công ty cổ phần Phốt pho Việt Nam hủy tư cách công ty đại chúng.
64,IPH,VN000000IPH0,Cổ phiếu Công ty cổ phần In và Phát hành biểu mẫu Thống kê,Cổ phiếu,UpCOM,20/04/2022,Công ty cổ phần In và Phát hành Biểu mẫu thống kê là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
65,QH072219,VN0QH0722194,Trái phiếu Chính phủ,Trái phiếu,Trái phiếu chuyên biệt,19/04/2022,Trái phiếu đáo hạn
66,TSV,VN000000TSV2,Cổ phiếu Công ty cổ phần Việt Sáng Tạo,Cổ phiếu,UpCOM,19/04/2022,Công ty cổ phần Việt Sáng Tạo hủy tư cách Công ty đại chúng.
67,HUX,VN000000HUX9,Cổ phiếu Công ty cổ phần Khoáng sản Thừa Thiên Huế,Cổ phiếu,UpCOM,14/04/2022,Công ty cổ phần Khoáng sản Thừa Thiên Huế là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
68,TD1722380,VNTD17223809,Trái phiếu Chính phủ đấu thầu đợt 63/2017,Trái phiếu,Trái phiếu chuyên biệt,14/04/2022,Trái phiếu đáo hạn
69,CT5,VN000000CT58,Cổ phiếu Công ty Cổ phần 319.5,Cổ phiếu,UpCOM,14/04/2022,Do Công ty cổ phần 319.5 là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
70,CMBB2107,VN0CMBB21070,Chứng quyền MBB-HSC-MET08,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
71,CMWG2111,VN0CMWF21117,Chứng quyền MWG-HSC-MET09,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
72,CVIC2107,VN0CVIC21074,Chứng quyền VIC-HSC-MET03,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
73,CFPT2109,VN0CFPT21092,Chứng quyền FPT-HSC-MET08,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
74,CVNM2112,VN0CVNM21123,Chứng quyền VNM-HSC-MET07,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
75,CMSN2110,VN0CMSN21103,Chứng quyền MSN-HSC-MET04,Chứng quyền,HOSE,12/04/2022,Hủy niêm yết do đáo hạn
76,GTK,VN000000GTK0,Cổ phiếu Công ty cổ phần Giầy Thụy Khuê,Cổ phiếu,UpCOM,08/04/2022,"Công ty cổ phần Giày Thụy Khuê là doanh nghiệp cổ phần hóa đã thực hiện đăng ký giao dịch trên hệ thống giao dịch UPCOM trước ngày Luật Chứng khoán số 54/2019/QH14 có hiệu lực thi hành nhưng chưa được Ủy ban Chứng khoán Nhà nước xác nhận hoàn tất việc đăng ký công ty đại chúng, thuộc trường hợp hủy đăng ký giao dịch theo quy định tại khoản 8 điều 310 Nghị định 155/2020/NĐ-CP ngày 31/12/2020 của Chính phủ quy định chi tiết thi hành một số điều của Luật Chứng khoán."
77,CVPB2110,VN0CVPB21105,Chứng quyền VPB/BSC/C/6M/EU/Cash/2021-01,Chứng quyền,HOSE,07/04/2022,Hủy niêm yết do đáo hạn
78,CTCB2111,VN0CTCB21115,Chứng quyền TCB/BSC/C/6M/EU/Cash/2021-01,Chứng quyền,HOSE,07/04/2022,Hủy niêm yết do đáo hạn
79,CVIC2110,VN0CVIC21108,Chứng quyền CVIC01MBS21CE,Chứng quyền,HOSE,07/04/2022,Hủy niêm yết do đáo hạn
80,CTPB2101,VN0CTPB21018,Chứng quyền CTPB01MBS21CE,Chứng quyền,HOSE,07/04/2022,Hủy niêm yết do đáo hạn
81,TTU,VN000000TTU2,Cổ phiếu Công ty cổ phần Dịch vụ Đô Thị Tân Thành,Cổ phiếu,UpCOM,29/03/2022,Công ty cổ phần Dịch vụ Đô Thị Tân Thành là doanh nghiệp nhà nước cổ phần hóa năm 2009 không đáp ứng điều kiện là công ty đại chúng đề nghị hủy Đăng ký chứng khoán do không thuộc đối tượng phải đăng ký giao dịch chứng khoán theo quy định tại Thông tư số 32/2021/TT-BTC ngày 17/05/2021 của Bộ Tài chính.
82,BVBS17027,VNBVBS170275,Trái phiếu Ngân hàng Chính sách Xã hội đợt 7/2017,Trái phiếu,Trái phiếu chuyên biệt,28/03/2022,Trái phiếu đáo hạn
83,KSK,VN000000KSK4,Cổ phiếu Công ty cổ phần Khoáng sản luyện kim màu,Cổ phiếu,UpCOM,24/03/2022,Do Công ty không còn đáp ứng điều kiện là công ty đại chúng
84,CMWG2104,VN0CMWG21042,Chứng quyền MWG/ACBS/Call/EU/cash/12M/04,Chứng quyền,HOSE,23/03/2022,Hủy niêm yết do đáo hạn
85,BVBS17026,VNBVBS170267,Trái phiếu Ngân hàng Chính sách Xã hội đợt 6/2017,Trái phiếu,Trái phiếu chuyên biệt,21/03/2022,Trái phiếu đáo hạn
86,FUCTVGF2,VN0FUCTVGF21,Quỹ Đầu tư Tăng trưởng Thiên Việt 2,Chứng chỉ quỹ,HOSE,17/03/2022,Quỹ giải thể trước hạn theo Nghị quyết Đại hội nhà đầu tư bất thường số 0601/2022/NQ-ĐHNĐT ngày 06/01/2022
87,CMSN2107,VN0CMSN21079,Chứng quyền MSN/VCSC/M/Au/T/A3,Chứng quyền,HOSE,15/03/2022,Hủy niêm yết do đáo hạn
88,CMWG2108,VN0CMWG21083,Chứng quyền MWG/VCSC/M/Au/T/A5,Chứng quyền,HOSE,15/03/2022,Hủy niêm yết do đáo hạn
89,CPNJ2106,VN0CPNJ21063,Chứng quyền PNJ/VCSC/M/Au/T/A4,Chứng quyền,HOSE,15/03/2022,Hủy niêm yết do đáo hạn
90,BRV,VN000000BRV2,Cổ phiếu Công ty cổ phần Bia rượu nước giải khát Viger,Cổ phiếu,UpCOM,15/03/2022,Công ty cổ phần Bia rượu nước giải khát Viger không còn đáp ứng điều kiện là công ty đại chúng.
91,CTCB2108,VN0CTCB21081,Chứng quyền TCB/VCSC/M/Au/T/A3,Chứng quyền,HOSE,15/03/2022,hủy niêm yết do đáo hạn
92,CVPB2107,VN0CVPB21071,Chứng quyền VPB/VCSC/M/Au/T/A4,Chứng quyền,HOSE,15/03/2022,Hủy niêm yết do đáo hạn
93,BVBS17025,VNBVBS170259,Trái phiếu Ngân hàng Chính sách Xã hội đợt 5/2017,Trái phiếu,Trái phiếu chuyên biệt,14/03/2022,Trái phiếu đáo hạn
94,TD1722379,VNTD17223791,Trái phiếu Chính phủ đấu thầu đợt 25/2017,Trái phiếu,Trái phiếu chuyên biệt,09/03/2022,Trái phiếu đáo hạn
95,CVPB2108,VN0CVPB21089,Chứng quyền VPB-HSC-MET07,Chứng quyền,HOSE,08/03/2022,Hủy niêm yết do đáo hạn
96,CHPG2113,VN0CHPG21137,Chứng quyền HPG-HSC-MET07,Chứng quyền,HOSE,08/03/2022,Hủy niêm yết do đáo hạn
97,CSTB2109,VN0CSTB21095,Chứng quyền STB-HSC-MET03,Chứng quyền,HOSE,08/03/2022,Hủy niêm yết do đáo hạn
98,CVRE2109,VN0CVRE21097,Chứng quyền VRE-HSC-MET07,Chứng quyền,HOSE,08/03/2022,hủy niêm yết do đáo hạn
99,CVHM2110,VN0CVHM21109,Chứng quyền VHM-HSC-MET06,Chứng quyền,HOSE,08/03/2022,Hủy niêm yết do đáo hạn
100,CTCB2109,VN0CTCB21099,Chứng quyền TCB-HSC-MET06,Chứng quyền,HOSE,08/03/2022,hủy niêm yết do đáo hạn
101,BVBS17024,VNBVBS170242,Trái phiếu Ngân hàng Chính sách Xã hội đợt 4/2017,Trái phiếu,Trái phiếu chuyên biệt,07/03/2022,Trái phiếu đáo hạn
102,I10,VN000000I108,Cổ phiếu Công ty cổ phần Đầu tư xây dựng số 10 IDICO,Cổ phiếu,UpCOM,07/03/2022,Công ty cổ phần Đầu tư xây dựng số 10 IDICO không còn đáp ứng điều kiện là Công ty đại chúng.
103,VEG,VN000000VEG9,"Cổ phiếu Tổng Công ty Rau quả, Nông sản - CTCP",Cổ phiếu,UpCOM,07/03/2022,"Tổng công ty Rau quả, Nông sản - Công ty cổ phần không còn đáp ứng điều kiện là Công ty đại chúng"
104,CMWG2112,VN0CMWG21125,Chứng quyền MWG/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy đăng ký chứng quyền
105,CFPT2110,VN0CFPT21100,Chứng quyền FPT/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy niêm yết do đáo hạn
106,CVRE2112,VN0CVRE21121,Chứng quyền VRE/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy niêm yết do đáo hạn
107,CMBB2108,VN0CMBB21088,Chứng quyền MBB/4M/SSI/C/EU/Cash-12,Chứng quyền,HOSE,02/03/2022,Hủy niêm yết do đáo hạn
108,ICS,VN000000ICS5,"Cổ phiếu Công ty cổ phần Kiểm định kỹ thuật, an toàn và Tư vấn xây dựng - INCOSAF",Cổ phiếu,UpCOM,25/02/2022,"Công ty cổ phần Kiểm định kỹ thuật, an toàn và Tư vấn xây dựng - INCOSAF là doanh nghiệp cổ phần hóa không thuộc đối tượng phải đăng ký giao dịch chứng khoán theo quy định tại Thông tư số 32/2021/TT-BTC ngày 17/05/2021 của Bộ Tài chính."
109,NCP,VN000000NCP1,Cổ phiếu Công ty cổ phần Nhiệt điện Cẩm Phả - TKV,Cổ phiếu,UpCOM,18/02/2022,Cổ phiếu hết hiệu lực lưu hành do Công ty cổ phần Nhiệt điện Cẩm Phả - TKV hoán đổi cổ phiếu để sáp nhập vào Tổng công ty điện lực TKV - CTCP
110,TD1222012,VNTD12220123,Trái phiếu Chính phủ đấu thầu đợt 09/2012,Trái phiếu,Trái phiếu chuyên biệt,18/02/2022,Trái phiếu đáo hạn
