Symbol,Name Company,Exchange
PVIINSURANCE,Tổng Công ty Bảo hiểm PVI,OTC
PYNMFE,Mutual Fund Elite,OTC
ROSE,CTCP Chứng khoán Globalmind Capital,OTC
RUBSE,Công ty Cổ phần Chứng khoán CAO SU,OTC
SBBS,Công ty Cổ phần Chứng khoán SAIGONBANK BERJAYA,OTC
SBS,Công ty Cổ phần Chứng khoán Ngân hàng Sài Gòn Thương Tín,Upcom
SCB,Ngân hàng Thương mại Cổ phần Sài Gòn,OTC
SCIC,Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước,OTC
SDF,Công ty Tài chính cổ phần Sông Đà,Upcom
SGB,Ngân hàng TMCP Sài Gòn Công thương,Upcom
SGIX,CTCP Đầu tư Sài Gòn,OTC
SHB,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,HSX
SHBS,Công ty Cổ phần Chứng khoán SHB,OTC
SHF,Công ty cổ phần Quản lý quỹ Đầu tư Sài Gòn - Hà Nội,OTC
SHINHAN,Shinhan Bank Vietnam Limited,OTC
SHN,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội,HNX
SHS,Công ty Cổ phần Chứng Khoán Sài Gòn Hà Nội,HNX
SJCS,Công ty Cổ phần Chứng khoán SJC,OTC
SME,Công ty Cổ phần Chứng khoán SME,HNX
SOVICO,Công ty cổ phần Sovico,OTC
SSB,Ngân hàng Thương mại cổ phần Đông Nam Á,HSX
SSI,Công ty cổ phần Chứng khoán SSI,HSX
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,HSX
STSC,Công ty Cổ phần Chứng khoán SÀI GÒN TOURIST,OTC
SVIC,Tổng Công ty cổ phần Bảo hiểm SHB - Vinacomin,OTC
SVS,Công ty Cổ phần Chứng khoán Sao Việt,HNX
TAS,Công ty Cổ phần Chứng khoán Tràng An,HNX
TCB,Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank),HSX
TCBS,Công ty TNHH Chứng khoán Kỹ Thương,OTC
TCI,Công ty cổ phần Chứng khoán Thành Công,Upcom
TCXM,Công ty Tài chính cổ phần Xi măng,OTC
TGG,Công ty Cổ phần Louis Capital,HSX
TIG,Công ty Cổ phần Tập đoàn Đầu tư Thăng Long,HNX
TIN,Công ty Tài chính Cổ phần Tín Việt,Upcom
TNTGROUP,CTCP Tập đoàn T&T,OTC
TPB,Ngân hàng Thương mại cổ phần Tiên Phong,HSX
TSS,Công ty Cổ phần Chứng khoán TRƯỜNG SƠN,OTC
TTCG,CTCP Đầu tư Thành Thành Công,OTC
TVB,Công ty cổ phần Chứng khoán Trí Việt,HSX
TVC,Công ty cổ phần Tập đoàn Quản lý Tài sản Trí Việt,HNX
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,HSX
TVSI,Công ty Cổ phần Chứng khoán Tân Việt,OTC
UNIX,CTCP Đầu tư U&I,OTC
UOBBANK,Ngân hàng TNHH MTV UOB Việt Nam,OTC
VAB,Ngân hàng Thương mại cổ phần Việt Á,Upcom
VBB,Ngân hàng Thương mại cổ phần Việt Nam Thương Tín,Upcom
VCB,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,HSX
VCBF,Công ty Liên doanh Quản lý quỹ đầu tư chứng khoán Vietcombank,OTC
VCBS,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,OTC
VCFC,Công ty Tài chính cổ phần Hóa chất Việt Nam,OTC
VCI,Công ty cổ phần Chứng khoán Bản Việt,HSX
VCVOF,VinaCapital Vietnam Opportunity Fund,OTC
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,HSX
VDSE,Công ty Cổ phần Chứng khoán Viễn Đông,OTC
VFMVF1,Quỹ Đầu tư Chứng khoán Việt Nam,HSX
VFMVF4,Quỹ đầu tư Doanh nghiệp Hàng đầu Việt Nam,HSX
VFMVFA,Quỹ Đầu tư Năng động Việt Nam,HSX
VFMVN30,Quỹ ETF VFMVN30,HSX
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,Upcom
VIB,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,HSX
VIG,Công ty Cổ phần Chứng khoán Đầu tư Việt Nam,HNX
VINAGLOBAL,Công ty Cổ phần Chứng khoán Toàn Cầu,OTC
VITS,Công ty Cổ phần Chứng khoán VIT,OTC
VIX,Công ty cổ phần Chứng khoán VIX,HSX
VND,Công ty cổ phần Chứng khoán VNDIRECT,HSX
VNN,Công ty cổ phần Đầu tư và Thương mại VNN,Upcom
VNR,Tổng Công ty Cổ phần Tái bảo hiểm quốc gia Việt Nam,HNX
VNSC,Công ty Cổ phần Chứng khoán VINA,OTC
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,HSX
VPBS,Công ty cổ phần Chứng khoán VPS,OTC
VQSC,Công ty Cổ phần Chứng khoán Việt Quốc,OTC
VSCS,Công ty Cổ phần Chứng khoán Việt,OTC
VSEC,Công ty Cổ phần Chứng khoán Việt Nam,OTC
VTSC,Công ty Cổ phần Chứng khoán Việt Thành,OTC
VTSS,Công ty Cổ phần Chứng khoán Việt Tín,OTC
VUA,Công ty cổ phần Chứng khoán Stanley Brothers,Upcom
WOORICBV,Công ty TNHH Chứng khoán NH Việt Nam,OTC
WSS,Công ty Cổ phần Chứng khoán Phố Wall,HNX
