STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Sàn chuyển đi,Sàn chuyển đến,Ngày hiệu lực,Tiêu đề
196,VTK,VN000000VTK9,Cổ phiếu Công ty cổ phần Tư vấn Thiết kế Viettel,Đại chúng chưa niêm yết,UpCOM,17/12/2018,"VTK: Chuyển dữ liệu đăng ký, lưu ký chứng khoán VTK từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
197,C4G,VN000000C4G0,Cổ phiếu Công ty cổ phần Tập đoàn CIENCO4,Đại chúng chưa niêm yết,UpCOM,07/12/2018,"C4G: chuyển dữ liệu đăng ký, lưu ký chứng khoán C4G từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
198,GDW,VN000000GDW9,Cổ phiếu CTCP Cấp nước Gia Định,UpCOM,HNX,11/12/2018,"GDW: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu GDW từ thị trường UPCOM sang thị trường HNX"
199,VTP,VN000000VTP8,Cổ phiếu Tổng công ty Cổ phần Bưu chính Viettel,Đại chúng chưa niêm yết,UpCOM,20/11/2018,"VTP: Chuyển dữ liệu đăng ký, lưu ký chứng khoán VTP từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
200,SVJ,VN000000SVJ3,Cổ phiếu Công ty cổ phần Santomas Việt Nam,HNX,Đại chúng chưa niêm yết,16/11/2018,"SVJ: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SVJ từ thị trường HNX sang thị trường ĐCCNY"
201,TID,VN000000TID1,Cổ phiếu Công ty cổ phần Tổng công ty Tín Nghĩa,Đại chúng chưa niêm yết,UpCOM,16/11/2018,"TID: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TID từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
202,HHD,VN000000HHD8,Cổ phiếu CTCP Kinh doanh Phát triển nhà và Đô thị Hà Nội,UpCOM,Đại chúng chưa niêm yết,13/11/2018,"HHD: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu HHD từ thị trường UPCOM sang thị trường ĐCCNY"
203,TDP,VN000000TDP6,Cổ phiếu Công ty cổ phần Thuận Đức,HOSE,UpCOM,09/11/2018,"TDP: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TDP từ thị trường HOSE sang thị trường UPCOM"
204,FHS,VN000000FHS0,Cổ phiếu Công ty cổ phần Phát hành sách thành phố Hồ Chí Minh - FAHASA,Đại chúng chưa niêm yết,UpCOM,31/10/2018,"FHS: chuyển dữ liệu đăng ký, lưu ký cổ phiếu FHS từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
205,TDM,VN000000TDM3,Cổ phiếu Công ty cổ phần Nước Thủ Dầu Một,UpCOM,HOSE,18/10/2018,"TDM: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TDM từ thị trường UPCOM sang thị trường HOSE"
206,PHC,VN000000PHC3,Cổ phiếu Công ty cổ phần Xây dựng Phục Hưng Holdings,HNX,HOSE,27/09/2018,"PHC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PHC từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
207,ART,VN000000ART8,Cổ phiếu Công ty cổ phần Chứng khoán BOS,UpCOM,HNX,26/09/2018,"ART: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu ART từ thị trường đăng ký giao dịch UPCoM sang thị trường niêm yết tại HNX"
208,TAG,VN000000TAG1,Cổ phiếu CTCP Thế giới số Trần Anh,HNX,UpCOM,19/09/2018,"TAG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TAG từ thị trường HNX sang thị trường UPCOM"
209,BDC,VN000000BDC2,Cổ phiếu Tổng Công ty Xây dựng Bạch Đằng - CTCP,Đại chúng chưa niêm yết,UpCOM,12/09/2018,"BDC: Chuyển dữ liệu đăng ký, lưu ký chứng khoán BDC từ thị trường ĐCCNY sang thị trường Upcom"
210,QNP,VN000000QNP1,Cổ phiếu Công ty cổ phần Cảng Quy Nhơn,HOSE,Đại chúng chưa niêm yết,30/08/2018,"QNP: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu QNP từ thị trường HOSE sang thị trường ĐCCNY"
211,BDC,VN000000BDC2,Cổ phiếu Tổng Công ty Xây dựng Bạch Đằng - CTCP,UpCOM,Đại chúng chưa niêm yết,15/08/2018,"BDC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu BDC từ thị trường UPCOM sang thị trường ĐCCNY"
212,ILC,VN000000ILC0,Cổ phiếu CTCP Hợp tác Lao động với nước ngoài,Đại chúng chưa niêm yết,UpCOM,09/08/2018,"ILC: Chuyển dữ liệu đăng ký, lưu ký chứng khoán ILC từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
213,PIV,VN000000PIV1,Cổ phiếu Công ty cổ phần PIV,HNX,UpCOM,04/09/2018,"PIV: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PIV từ thị trường HNX sang thị trường UPCOM"
214,TTB,VN000000TTB2,Cổ phiếu Công ty cổ phần Tập đoàn Tiến Bộ,HNX,HOSE,10/08/2018,"TTB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TTB từ thị trường HNX sang thị trường HOSE"
215,VNY,VN000000VNY3,Cổ phiếu Công ty cổ phần Thuốc Thú Y Trung Ương I,Đại chúng chưa niêm yết,UpCOM,02/08/2018,"VNY: Chuyển dữ liệu đăng ký, lưu ký chứng khoán VNY từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
216,CDO,VN000000CDO5,Cổ phiếu Công ty cổ phần Tư vấn thiết kế và Phát triển đô thị,HOSE,UpCOM,07/08/2018,"CDO: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CDO từ thị trường HOSE sang thị trường UPCOM"
217,SMB,VN000000SMB9,Cổ phiếu CTCP Bia Sài Gòn - Miền Trung,UpCOM,HOSE,30/07/2018,"SMB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SMB từ thị trường UPCOM sang thị trường HOSE"
218,SCS,VN000000SCS4,Cổ phiếu Công ty cổ phần Dịch vụ Hàng hóa Sài Gòn,UpCOM,HOSE,30/07/2018,"SCS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SCS từ thị trường UPCOM sang thị trường HOSE"
219,KSA,VN000000KSA5,Cổ phiếu CTCP Công nghiệp Khoáng sản Bình Thuận,HOSE,UpCOM,03/08/2018,"KSA: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KSA từ thị trường HOSE sang thị trường UPCOM"
220,FRC,VN000000FRC3,Cổ phiếu Công ty cổ phần Lâm đặc sản Xuất khẩu Quảng Nam,Đại chúng chưa niêm yết,UpCOM,25/07/2018,"FRC: Chuyển dữ liệu đăng ký, lưu ký chứng khoán FRC từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
221,B82,VN000000B822,Cổ phiếu Công ty cổ phần 482,HNX,UpCOM,22/08/2018,"B82: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu B82 từ thị trường HNX sang thị trường UPCOM"
222,SGN,VN000000SGN6,Cổ phiếu Công ty cổ phần Phục vụ mặt đất Sài Gòn,UpCOM,HOSE,25/07/2018,"SGN: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SGN từ thị trường UPCOM sang thị trường HOSE"
223,HIZ,VN000000HIZ9,Cổ phiếu Công ty cổ phần Khu công nghiệp Hố Nai,Đại chúng chưa niêm yết,UpCOM,19/07/2018,"HIZ: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu HIZ từ thị trường ĐCCNY sang thị trường UPCOM"
224,VBB,VN000000VBB6,Cổ phiếu Ngân hàng Thương mại cổ phần Việt Nam Thương Tín,UpCOM,Đại chúng chưa niêm yết,09/07/2018,"VBB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VBB từ thị trường UPCOM sang thị trường ĐCCNY"
225,VEA,VN000000VEA2,Cổ phiếu Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP,Đại chúng chưa niêm yết,UpCOM,29/06/2018,"VEA: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VEA từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
226,CCM,VN000000CCM1,Cổ phiếu CTCP Khoáng sản và Xi măng Cần Thơ,HNX,UpCOM,03/07/2018,"CCM: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CCM từ thị trường niêm yết HNX sang thị trường UPCOM"
227,TVB,VN000000TVB8,Cổ phiếu Công ty cổ phần Chứng khoán Trí Việt,UpCOM,HOSE,28/06/2018,"TVB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TVB từ thị trường đăng ký giao dịch UPCoM sang thị trường niêm yết tại HOSE"
228,VPI,VN000000VPI1,Cổ phiếu Công ty cổ phần Đầu tư Văn Phú - Invest,HNX,HOSE,25/06/2018,"VPI: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VPI từ thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX) sang thị trường niêm yết tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE)"
229,STT,VN000000STT6,Cổ phiếu Công ty cổ phần Vận chuyển Sài Gòn Tourist,HOSE,UpCOM,10/07/2018,"STT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu STT từ thị trường niêm yết HOSE sang thị trường UPCOM"
230,DP1,VN000000DP10,Cổ phiếu Công ty cổ phần Dược phẩm Trung ương CPC1,Đại chúng chưa niêm yết,UpCOM,11/06/2018,"DP1: Chuyển dữ liệu đăng ký, lưu ký chứng khoán DP1 từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
231,ABR,VN000000ABR6,Cổ phiếu Công ty cổ phần Đầu tư Nhãn Hiệu Việt,HNX,UpCOM,11/06/2018,"ABR: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu ABR từ thị trường HNX sang thị trường UPCOM"
232,BBT,VN000000BBT0,Cổ phiếu Công ty cổ phần Bông Bạch Tuyết,Đại chúng chưa niêm yết,UpCOM,11/06/2018,"BBT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu BBT từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
233,DBD,VN000000DBD0,Cổ phiếu Công ty cổ phần Dược - Trang thiết bị y tế Bình Định (Bidiphar),UpCOM,HOSE,12/06/2018,"DBD: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DBD từ thị trường đăng ký giao dịch UPCoM sang thị trường niêm yết tại HOSE"
234,MFS,VN000000MFS0,Cổ phiếu Công ty cổ phần Dịch vụ kỹ thuật Mobifone,UpCOM,Đại chúng chưa niêm yết,07/06/2018,"MFS: Chuyển dữ liệu đăng ký, lưu ký chứng khoán MFS từ thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội sang thị trường Đại chúng chưa niêm yết"
235,VTE,VN000000VTE2,Cổ phiếu Công ty cổ phần Viễn thông Điện tử VINACAP,Đại chúng chưa niêm yết,UpCOM,04/06/2018,"VTE: Chuyển dữ liệu đăng ký, lưu ký chứng khoán VTE từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
236,TCB,VN000000TCB8,Cổ phiếu Ngân hàng Thương mại cổ phần Kỹ thương Việt Nam,Đại chúng chưa niêm yết,HOSE,01/06/2018,"TCB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TCB từ thị trường đại chúng chưa niêm yết sang thị trường niêm yết tại Sở Giao dịch Chứng khoán thành phố Hồ Chí Minh"
237,TV1,VN000000TV14,Cổ phiếu Công ty cổ phần Tư vấn Xây dựng điện 1,HOSE,UpCOM,15/06/2018,"TV1: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TV1 từ thị trường niêm yết tại Sở giao dịch Chứng khoán Tp. Hồ Chí Minh (HOSE) sang thị trường đăng ký giao dịch tại Sở giao dịch Chứng khoán Hà Nội (UPCOM)"
238,MLS,VN000000MLS8,Cổ phiếu Công ty cổ phần Chăn nuôi - Mitraco,HNX,UpCOM,12/06/2018,"MLS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu MLS từ thị trường niêm yết HNX sang thị trường UpCOM"
239,DPG,VN000000DPG3,Cổ phiếu Công ty cổ phần Đạt Phương,UpCOM,HOSE,21/05/2018,"DPG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DPG từ sàn UPCOM sang thị trường niêm yết tại HOSE"
240,BHT,VN000000BHT7,Cổ phiếu Công ty cổ phần Đầu tư Xây dựng Bạch Đằng TMC,HNX,UpCOM,05/06/2018,"BHT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu BHT từ thị trường niêm yết HNX sang thị trường UpCOM"
241,L44,VN000000L441,Cổ phiếu CTCP LILAMA 45.4,HNX,UpCOM,05/06/2018,"L44: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu L44 từ thị trường niêm yết HNX sang thị trường UPCOM"
242,PXA,VN000000PXA4,Cổ phiếu Công ty cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,HNX,UpCOM,07/06/2018,"PXA: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PXA từ thị trường HNX sang thị trường UPCOM"
243,KHL,VN000000KHL5,Cổ phiếu Công ty cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,HNX,UpCOM,05/06/2018,"KHL: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KHL từ thị trường HNX sang thị trường UPCOM"
244,PBT,VN000000PBT0,Cổ phiếu Công ty Cổ phần Nhà và Thương mại Dầu khí,HNX,Đại chúng chưa niêm yết,04/05/2018,"PBT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PBT từ thị trường HNX sang thị trường ĐCCNY"
245,SD7,VN000000SD74,Cổ phiếu Công ty cổ phần Sông Đà 7,HNX,UpCOM,29/05/2018,"SD7: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SD7 từ thị trường HNX sang thị trường UPCOM"
246,TOW,VN000000TOW9,Cổ phiếu Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,UpCOM,Đại chúng chưa niêm yết,24/04/2018,"TOW: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TOW từ thị trường UPCOM sang thị trường ĐCCNY"
247,SLD,VN000000SLD7,Cổ phiếu Công ty cổ phần Địa ốc Sacom,HOSE,Đại chúng chưa niêm yết,23/04/2018,"SLD: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SLD từ thị trường HSX sang thị trường ĐCCNY"
248,MNB,VN000000MNB0,Cổ phiếu Tổng công ty May Nhà Bè - Công ty cổ phần,Đại chúng chưa niêm yết,UpCOM,23/04/2018,"MNB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu MNB từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
249,HSM,VN000000HSM6,Cổ phiếu Tổng Công ty Cổ phần Dệt May Hà Nội,UpCOM,UpCOM,18/04/2018,"HSM: Chuyển dữ liệu đăng ký, lưu ký chứng khoán HSM từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
250,TPB,VN000000TPB0,Cổ phiếu Ngân hàng Thương mại cổ phần Tiên Phong,Đại chúng chưa niêm yết,HOSE,13/04/2018,"TPB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TPB từ thị trường đại chúng chưa niêm yết sang thị trường niêm yết tại Sở Giao dịch Chứng khoán thành phố Hồ Chí Minh"
251,KHA,VN000000KHA8,Cổ phiếu Công ty CP Đầu tư và Dịch vụ Khánh Hội,HOSE,UpCOM,07/05/2018,"KHA: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu từ thị trường niêm yết HOSE sang thị trường UPCOM"
252,SAP,VN000000SAP4,Cổ phiếu CTCP In Sách giáo khoa Tp.HCM,HNX,UpCOM,02/05/2018,"SAP: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SAP từ thị trường niêm yết HNX sang thị trường UPCOM"
253,GID,VN000000GID8,Cổ phiếu Công ty cổ phần Dệt may Gia Định,UpCOM,Đại chúng chưa niêm yết,02/04/2018,"GID: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu GID từ thị trường UPCOM sang thị trường ĐCCNY"
254,TH1,VN000000TH12,Cổ phiếu Công ty cổ phần Xuất nhập khẩu Tổng hợp I Việt Nam,HNX,UpCOM,24/04/2018,"TH1: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TH1 từ thị trường HNX sang thị trường UPCOM"
255,NAP,VN000000NAP5,Cổ phiếu Công ty cổ phần Cảng Nghệ Tĩnh,UpCOM,HNX,23/03/2018,"NAP: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu NAP từ thị trường đăng ký giao dịch UPCOM sang thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội"
256,TEG,VN000000TEG3,Cổ phiếu Công ty cổ phần Năng lượng và Bất động sản Trường Thành,HNX,HOSE,06/03/2018,"TEG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TEG từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
257,VPD,VN000000VPD2,Cổ phiếu Công ty cổ phần Phát triển Điện lực Việt Nam,UpCOM,HOSE,17/01/2018,"VPD: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VPD từ thị trường đăng ký giao dịch (UPCOM) tại Sở Giao dịch Chứng khoán Hà Nội sang thị trường niêm yết tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh"
258,GEX,VN000000GEX5,Cổ phiếu Tổng Công ty cổ phần Thiết bị điện Việt Nam,UpCOM,HOSE,17/01/2018,"GEX: chuyển dữ liệu đăng ký, lưu ký cổ phiếu GEX từ thị trường UPCOM sang thị trường niêm yết tại HOSE"
259,CAT,VN000000CAT0,Cổ phiếu CTCP Thuỷ sản Cà Mau,Đại chúng chưa niêm yết,UpCOM,11/01/2018,"CAT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CAT từ thị trường DCCNY sang thị trường UPCOM"
260,IDN,VN000000IDN4,Cổ phiếu Công ty cổ phần In và Dịch vụ Đà Nẵng,Đại chúng chưa niêm yết,UpCOM,11/01/2018,"IDN: chuyển dữ liệu đăng ký, lưu ký chứng khoán IDN từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
261,SGR,VN000000SGR7,Cổ phiếu Công ty cổ phần Địa ốc Sài Gòn,UpCOM,HOSE,10/01/2018,"SGR: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SGR từ thị trường UPCOM sang thị trường HOSE"
262,MKP,VN000000MKP6,Cổ phiếu CTCP Hóa - Dược phẩm Mekophar,Đại chúng chưa niêm yết,UpCOM,17/01/2018,"MKP: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu MKP từ thị trường ĐCCNY sang thị trường UPCOM"
263,MFS,VN000000MFS0,Cổ phiếu Công ty cổ phần Dịch vụ kỹ thuật Mobifone,Đại chúng chưa niêm yết,UpCOM,08/01/2018,"MFS: Chuyển dữ liệu đăng ký, lưu ký chứng khoán MFS từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
264,UXC,VN000000UXC0,Cổ phiếu Công ty cổ phần Chế biến Thủy sản Út Xi,UpCOM,Đại chúng chưa niêm yết,05/01/2018,"UXC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu UXC từ thị trường UPCOM sang thị trường ĐCCNY"
265,BAL,VN000000BAL9,Công ty cổ phần Bao bì Bia – Rượu – Nước giải khát,Đại chúng chưa niêm yết,UpCOM,05/01/2018,"BAL: Chuyển dữ liệu đăng ký, lưu ký chứng khoán BAL từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
266,NTT,VN000000NTT7,Cổ phiếu Công ty cổ phần Dệt – May Nha Trang,Đại chúng chưa niêm yết,UpCOM,26/12/2017,"NTT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu NTT từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
267,FHS,VN000000FHS0,Cổ phiếu Công ty cổ phần Phát hành sách thành phố Hồ Chí Minh - FAHASA,UpCOM,Đại chúng chưa niêm yết,25/12/2017,"FHS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu FHS từ thị trường UPCOM sang thị trường DCCNY"
268,IBC,VN000000IBC1,Cổ phiếu Công ty cổ phần Đầu tư Apax Holdings,UpCOM,HOSE,14/12/2017,"IBC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu IBC từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HOSE"
269,NPS,VN000000NPS7,Cổ phiếu Công ty cổ phần May Phú Thịnh – Nhà Bè,HNX,UpCOM,07/12/2017,"NPS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu NPS từ thị trường niêm yết HNX sang thị trường UPCOM"
270,KOS,VN000000KOS6,Cổ phiếu Công ty cổ phần Kosy,HNX,UpCOM,06/12/2017,"KOS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KOS từ thị trường niêm yết HNX sang thị trường UPCOM"
271,BWS,VN000000BWS8,Cổ phiếu Công ty cổ phần Cấp nước Bà Rịa - Vũng Tàu,Đại chúng chưa niêm yết,UpCOM,27/11/2017,"BWS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu BWS từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
272,FRM,VN000000FRM2,Cổ phiếu Công ty cổ phần Lâm nghiệp Sài Gòn,Đại chúng chưa niêm yết,UpCOM,21/11/2017,"FRM: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu FRM từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
273,BTW,VN000000BTW6,Cổ phiếu CTCP Cấp nước Bến Thành,UpCOM,HNX,10/11/2017,"BTW: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu BTW từ thị trường UPCOM sang thị trường HNX"
274,NBW,VN000000NBW9,Cổ phiếu CTCP Cấp nước Nhà Bè,UpCOM,HNX,13/11/2017,"NBW: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu NBW từ thị trường UPCOM sang thị trường niêm yết HNX"
275,OTG,VN000000OTG2,Cổ phiếu Công ty cổ phần Otran Logistics,HNX,Đại chúng chưa niêm yết,27/10/2017,"OTG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu OTG từ thị trường HNX sang thị trường ĐCCNY"
276,CTR,VN000000CTR4,Cổ phiếu Tổng Công ty cổ phần Công trình Viettel,Đại chúng chưa niêm yết,UpCOM,26/10/2017,"CTR: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CTR từ thị trường ĐCCNY sang thị trường Upcom"
277,MPC,VN000000MPC3,Cổ phiếu CTCP Tập đoàn Thủy sản Minh Phú,Đại chúng chưa niêm yết,UpCOM,,"MPC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu MPC từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
278,SHC,VN000000SHC7,Cổ phiếu CTCP Hàng Hải Sài Gòn,Đại chúng chưa niêm yết,UpCOM,09/10/2017,"SHC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SHC từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
279,VMG,VN000000VMG2,Cổ phiếu CTCP Thương mại và dịch vụ dầu khí Vũng Tàu,Đại chúng chưa niêm yết,UpCOM,06/10/2017,"VMG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VMG từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
280,CVT,VN000000CVT6,Cổ phiếu CTCP CMC,HNX,HOSE,03/10/2017,"CVT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CVT từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
281,HPI,VN000000HPI0,Cổ phiếu CTCP Khu công nghiệp Hiệp Phước,Đại chúng chưa niêm yết,UpCOM,02/10/2017,"HPI: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu HPI từ thị trường Đại chúng chưa niêm yết sang thị trường giao dịch UPCOM"
282,BTH,VN000000BTH7,Cổ phiếu CTCP Chế tạo Biến thế và Vật liệu điện Hà Nội,Đại chúng chưa niêm yết,UpCOM,26/09/2017,"BTH: Chuyển dữ liệu đăng ký, lưu ký chứng khoán BTH từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
283,MSR11606,VN0MSR116069,Trái phiếu TNTI102018,HOSE,Đại chúng chưa niêm yết,19/09/2017,"MSR11606: Chuyển dữ liệu đăng ký, lưu ký trái phiếu MSR11606 từ thị trường HOSE sang thị trường DCCNY"
284,DP1,VN000000DP10,Cổ phiếu Công ty cổ phần Dược phẩm Trung ương CPC1,UpCOM,Đại chúng chưa niêm yết,08/09/2017,"DP1: chuyển dữ liệu đăng ký, lưu ký cổ phiếu DP1 từ thị trường UPCOM sang thị trường ĐCCNY"
285,CCH,VN000000CCH1,Cổ phiếu Công ty cổ phần Tư vấn và Đầu tư Xây dựng CCIC Hà Nội,Đại chúng chưa niêm yết,UpCOM,29/08/2017,"CCH: Chuyển dữ liệu đăng ký, lưu ký chứng khoán CCH từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
286,NTF,VN000000NTF6,Cổ phiếu Công ty cổ phần Dược - Vật tư Y tế Nghệ An,UpCOM,Đại chúng chưa niêm yết,24/08/2017,"NTF: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu NTF từ thị trường UPCOM sang thị trường ĐCCNY"
287,PPH,VN000000PPH5,Cổ phiếu Tổng công ty cổ phần Phong Phú,Đại chúng chưa niêm yết,UpCOM,22/08/2017,"PPH: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PPH từ thị trường ĐCCNY sang thị trường UPCOM"
288,ATB,VN000000ATB2,Cổ phiếu Công ty cổ phần An Thịnh,Đại chúng chưa niêm yết,UpCOM,21/08/2017,"ATB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu ATB từ thị trường ĐCCNY sang thị trường Upcom"
289,SDH,VN000000SDH5,Cổ phiếu CTCP Xây dựng hạ tầng Sông Đà,HNX,UpCOM,12/09/2017,"SDH: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SDH từ thị trường HNX sang thị trường UPCOM"
290,VND,VN000000VND7,Cổ phiếu CTCP Chứng khoán VnDirect,HNX,HOSE,16/08/2017,"VND: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VND từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
