STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Sàn chuyển đi,Sàn chuyển đến,Ngày hiệu lực,Tiêu đề
22,NPM11909,VN0NPM119094,Trái phiếu NPM052022,HOSE,HNX,30/12/2021,"NPM11909: Chuyển dữ liệu đăng ký, lưu ký trái phiếu NPM11909 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
23,NPM11910,VN0NPM119102,Trái phiếu NPM062022,HOSE,HNX,30/12/2021,"NPM11910: Chuyển dữ liệu đăng ký, lưu ký trái phiếu NPM11910 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
24,NPM11911,VN0NPM119110,Trái phiếu NPM052024,HOSE,HNX,30/12/2021,"NPM11911: Chuyển dữ liệu đăng ký, lưu ký trái phiếu NPM11911 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
25,MSN12002,VN0MSN120024,Trái phiếu BondMSN012023,HOSE,HNX,30/12/2021,"MSN12002: Chuyển dữ liệu đăng ký, lưu ký trái phiếu MSN12002 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
26,MSN12003,VN0MSN120032,Trái phiếu BondMSN032023,HOSE,HNX,30/12/2021,"MSN12003: Chuyển dữ liệu đăng ký, lưu ký trái phiếu MSN12003 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
27,MSN12005,VN0MSN120057,Trái phiếu Bond MSN042023,HOSE,HNX,30/12/2021,"MSN12005: Chuyển dữ liệu đăng ký, lưu ký trái phiếu MSN12005 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
28,MSN11906,VN0MSN119067,Trái phiếu MSNPO2022_01,HOSE,HNX,30/12/2021,"MSN11906: Chuyển dữ liệu đăng ký, lưu ký trái phiếu MSN11906 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
29,MSN12001,VN0MSN120016,Trái phiếu BondMSN022023,HOSE,HNX,30/12/2021,"MSN12001: Chuyển dữ liệu đăng ký, lưu ký trái phiếu MSN12001 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
30,NXT,VN000000NXT9,Cổ phiếu Công ty cổ phần Sản xuất và Cung ứng vật liệu xây dựng Kon Tum,HNX,UpCOM,07/12/2021,"NXT: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký cổ phiếu NXT từ thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX) sang thị trường đăng ký giao dịch (UPCOM)"
31,CCR,VN000000CCR0,Cổ phiếu Công ty cổ phần Cảng Cam Ranh,UpCOM,HNX,12/11/2021,"CCR: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CCR từ thị trường đăng ký giao dịch UPCOM sang thị trường niêm yết HNX"
32,DTC,VN000000DTC4,Cổ phiếu CTCP Viglacera Đông Triều,UpCOM,HNX,02/11/2021,"DTC: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu DTC từ thị trường đăng ký giao dịch (Upcom) tại HNX sang thị trường niêm yết tại HNX"
33,ORS,VN000000ORS1,Cổ phiếu Công ty Cổ phần Chứng khoán Tiên Phong,UpCOM,HOSE,01/11/2021,"ORS: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu ORS từ thị trường UPCOM sang thị trường HOSE như sau:"
34,IPA,VN000000IPA5,Cổ phiếu Công ty cổ phần Tập đoàn Đầu tư I.P.A,UpCOM,HNX,27/10/2021,"IPA: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu IPA từ thị trường đăng ký giao dịch UPCOM sang thị trường niêm yết HNX như sau:"
35,NHT,VN000000NHT2,Cổ phiếu Công ty cổ phần Sản xuất và Thương mại Nam Hoa,UpCOM,HOSE,02/11/2021,"NHT: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu NHT từ thị trường UPCOM sang thị trường HOSE"
36,SCG,VN000000SCG9,Cổ phiếu Công ty cổ phần Xây dựng SCG,UpCOM,HNX,22/10/2021,"SCG: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu SCG từ thị trường đăng ký giao dịch UPCOM sang thị trường niêm yết HNX"
37,SHB,VN000000SHB9,Cổ phiếu Ngân hàng TMCP Sài Gòn - Hà Nội,HNX,HOSE,08/10/2021,"SHB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SHB từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
38,ASG,VN000000ASG3,Cổ phiếu Công ty cổ phần Tập đoàn ASG,HNX,HOSE,24/09/2021,"ASG: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu ASG từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
39,TS4,VN000000TS43,Cổ phiếu Công ty Cổ phần thủy sản số 04,HOSE,UpCOM,14/09/2021,"TS4: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký cổ phiếu TS4 từ thị trường HOSE sang thị trường UPCOM"
40,SSC,VN000000SSC4,Cổ phiếu Công ty Cổ phần Giống cây trồng Miền Nam,HNX,HOSE,01/09/2021,"SSC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SSC từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
41,VFG,VN000000VFG6,Cổ phiếu Công ty Cổ phần Khử Trùng Việt Nam,HNX,HOSE,01/09/2021,"VFG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VFG từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
42,CAV,VN000000CAV6,Cổ phiếu Công ty cổ phần Dây cáp điện Việt Nam,HNX,HOSE,01/09/2021,"CAV: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CAV từ thị trường niêm yết HNX sang thị trường niêm yết HOSE như sau:"
43,DXS,VN000000DXS2,Cổ phiếu Công ty cổ phần Dịch vụ Bất động sản Đất Xanh,HNX,HOSE,01/09/2021,"DXS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DXS từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
44,KHG,VN000000KHG5,Cổ phiếu Công ty cổ phần Bất động sản Khải Hoàn Land,HNX,HOSE,01/09/2021,"KHG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KHG từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
45,THI,VN000000THI2,Cổ phiếu Công ty cổ phần Thiết bị điện,HNX,HOSE,01/09/2021,"THI: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu THI từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
46,PAN,VN000000PAN5,Cổ phiếu Công ty cổ phần Tập đoàn PAN,HNX,HOSE,01/09/2021,"PAN: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PAN từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
47,LAF,VN000000LAF0,Cổ phiếu CTCP Chế biến hàng XK Long An,HNX,HOSE,01/09/2021,"LAF: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu LAF từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
48,BBC,VN000000BBC6,Cổ phiếu Công ty cổ phần Bibica,HNX,HOSE,01/09/2021,"BBC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu BBC từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
49,ABT,VN000000ABT2,Cổ phiếu CTCP Xuất nhập khẩu Thuỷ sản Bến Tre,HNX,HOSE,01/09/2021,"ABT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu ABT từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
50,BSI,VN000000BSI7,Cổ phiếu Công ty cổ phần Chứng khoán Ngân hàng Đâu tư và Phát triển Việt Nam,HNX,HOSE,01/09/2021,"BSI: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu BSI từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
51,HAP,VN000000HAP7,Cổ phiếu Công ty Cổ phần Tập đoàn HAPACO,HNX,HOSE,01/09/2021,"HAP: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu HAP từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
52,VND,VN000000VND7,Cổ phiếu CTCP Chứng khoán VnDirect,HNX,HOSE,01/09/2021,"VND: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VND từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
53,QBS,VN000000QBS0,Cổ phiếu Công ty cổ phần Xuất nhập khẩu Quảng Bình,HNX,HOSE,01/09/2021,"QBS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu QBS từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
54,TVB,VN000000TVB8,Cổ phiếu Công ty cổ phần Chứng khoán Trí Việt,HNX,HOSE,01/09/2021,"TVB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TVB từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
55,NSC,VN000000NSC5,Cổ phiếu Công ty cổ phần Tập đoàn Giống cây trồng Việt Nam,HNX,HOSE,01/09/2021,"NSC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu NSC từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
56,XMP,VN000000XMP9,Cổ phiếu Công ty cổ phần Thủy điện Xuân Minh,HNX,UpCOM,13/08/2021,"XMP: Chuyển dữ liệu đăng ký, lưu ký chứng khoán XMP từ thị trường niêm yết HNX sang thị trường đăng ký giao dịch Upcom"
57,CII42013,VN0CII420136,Trái phiếu CTCP Đầu tư Hạ tầng Kỹ thuật TP.HCM,HOSE,Đại chúng chưa niêm yết,09/08/2021,"CII42013: Chuyển dữ liệu đăng ký, lưu ký trái phiếu CII42013 từ thị trường niêm yết HOSE sang thị trường Đại chúng chưa niêm yết"
58,KHG,VN000000KHG5,Cổ phiếu Công ty cổ phần Bất động sản Khải Hoàn Land,HOSE,HNX,14/07/2021,"KHG: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu KHG từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
59,PAP,VN000000PAP0,Cổ phiếu Công ty cổ phần Dầu khí Đầu tư khai thác cảng Phước An,Đại chúng chưa niêm yết,UpCOM,12/07/2021,"PAP: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu PAP từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
60,DXS,VN000000DXS2,Cổ phiếu Công ty cổ phần Dịch vụ Bất động sản Đất Xanh,HOSE,HNX,09/07/2021,"DXS: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu DXS từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
61,HKB,VN000000HKB6,Cổ phiếu Công ty cổ phần Nông nghiệp và Thực phẩm Hà Nội – Kinh Bắc,HNX,UpCOM,22/07/2021,"HKB: Thông báo chuyển dữ liệu đăng ký, lưu ký cổ phiếu HKB từ thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX) sang thị trường đăng ký giao dịch tại Sở Giao dịch Chứng khoán Hà Nội (UPCOM)"
62,HAP,VN000000HAP7,Cổ phiếu Công ty Cổ phần Tập đoàn HAPACO,HOSE,HNX,16/06/2021,"HAP: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu HAP từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
63,NHP,VN000000NHP0,Cổ phiếu Công ty cổ phần Sản xuất Xuất nhập khẩu NHP,HNX,UpCOM,28/06/2021,"NHP: Thông báo thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu NHP từ thị trường HNX sang thị trường UPCOM"
64,DPS,VN000000DPS8,Cổ phiếu Công ty cổ phần Đầu tư Phát triển Sóc Sơn,HNX,UpCOM,28/06/2021,"DPS: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu DPS từ thị trường HNX sang thị trường UPCOM"
65,VMI,VN000000VMI8,Cổ phiếu Công ty cổ phần Khoáng sản và Đầu tư VISACO,HNX,UpCOM,28/06/2021,"VMI: Thông báo thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu VMI từ thị trường HNX sang thị trường UPCOM"
66,SJC,VN000000SJC3,Cổ phiếu CTCP Sông Đà 1.01,HNX,UpCOM,28/06/2021,"SJC: Thông báo thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu SJC từ thị trường HNX sang thị trường UPCOM"
