STT,Mã ISIN,Mã chứng khoán,Tên tổ chức đăng ký,link_isin,link_td
110,VN000000BDB4,BDB,CTCP Sách và Thiết bị Bình Định,https://www.vsd.vn/vi/s-detail/235,https://www.vsd.vn/vi/id/395
111,VN000000BDC2,BDC,Tổng Công ty Xây dựng Bạch Đằng - CTCP,https://www.vsd.vn/vi/s-detail/5772,https://www.vsd.vn/vi/id/2443
112,VN000000BDF5,BDF,Công ty cổ phần Giày Bình Định,https://www.vsd.vn/vi/s-detail/4555,https://www.vsd.vn/vi/id/2222
113,VN000000BDG3,BDG,Công ty cổ phần May mặc Bình Dương,https://www.vsd.vn/vi/s-detail/3971,https://www.vsd.vn/vi/id/2046
114,VN000000BDP4,BDP,Công ty cổ phần Biệt thự và Khách sạn Biển Đông Phương,https://www.vsd.vn/vi/s-detail/4636,https://www.vsd.vn/vi/id/2283
115,VN000000BDS8,BDS,Công ty cổ phần Đường Bình Định,https://www.vsd.vn/vi/s-detail/236,https://www.vsd.vn/vi/id/396
116,VN000000BDT6,BDT,Công ty cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,https://www.vsd.vn/vi/s-detail/5271,https://www.vsd.vn/vi/id/2362
117,VN000000BDW0,BDW,Công ty cổ phần Cấp thoát nước Bình Định,https://www.vsd.vn/vi/s-detail/3231,https://www.vsd.vn/vi/id/1948
118,VN000000BED8,BED,Công ty cổ phần Sách và Thiết bị Trường học Đà Nẵng,https://www.vsd.vn/vi/s-detail/58,https://www.vsd.vn/vi/id/192
119,VN000000BEL1,BEL,Công ty cổ phần Điện tử Biên Hòa,https://www.vsd.vn/vi/s-detail/3706,https://www.vsd.vn/vi/id/2020
120,VN000000BFC7,BFC,Công ty cổ phần Phân bón Bình Điền,https://www.vsd.vn/vi/s-detail/3232,https://www.vsd.vn/vi/id/1949
121,VN000000BGM4,BGM,Công ty cổ phần Khai thác và Chế biến Khoáng sản Bắc Giang,https://www.vsd.vn/vi/s-detail/1784,https://www.vsd.vn/vi/id/1298
122,VN000000BGT9,BGT,Công ty cổ phần Công trình giao thông tỉnh Bà Rịa - Vũng Tàu,https://www.vsd.vn/vi/s-detail/12331,https://www.vsd.vn/vi/id/2806
123,VN000000BGW3,BGW,Công ty cổ phần Nước sạch Bắc Giang,https://www.vsd.vn/vi/s-detail/5371,https://www.vsd.vn/vi/id/2375
124,VN000000BHA7,BHA,Công ty cổ phần Thủy điện Bắc Hà,https://www.vsd.vn/vi/s-detail/5457,https://www.vsd.vn/vi/id/2397
125,VN000000BHC3,BHC,Công ty cổ phần Bê Tông Biên Hòa,https://www.vsd.vn/vi/s-detail/715,https://www.vsd.vn/vi/id/770
126,VN000000BHG4,BHG,Công ty cổ phần Chè Biển Hồ,https://www.vsd.vn/vi/s-detail/7712,https://www.vsd.vn/vi/id/2607
127,VN000000BHK6,BHK,Công ty cổ phần Bia Hà Nội – Kim Bài,https://www.vsd.vn/vi/s-detail/6171,https://www.vsd.vn/vi/id/2493
128,VN000000BHN0,BHN,Tổng Công ty cổ phần Bia – Rượu – Nước Giải khát Hà Nội,https://www.vsd.vn/vi/s-detail/2596,https://www.vsd.vn/vi/id/1880
129,VN000000BHP5,BHP,Công ty cổ phần Bia Hà Nội - Hải Phòng,https://www.vsd.vn/vi/s-detail/1855,https://www.vsd.vn/vi/id/1328
130,VN000000BHS9,BHS,Công ty Cổ phần Đường Biên Hoà,https://www.vsd.vn/vi/s-detail/239,https://www.vsd.vn/vi/id/399
131,VN000000BHT7,BHT,Công ty cổ phần Đầu tư Xây dựng Bạch Đằng TMC,https://www.vsd.vn/vi/s-detail/240,https://www.vsd.vn/vi/id/400
132,VN000000BHV3,BHV,Công ty cổ phần Bá Hiến,https://www.vsd.vn/vi/s-detail/463,https://www.vsd.vn/vi/id/517
133,VN000000BIC1,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/1787,https://www.vsd.vn/vi/id/1301
134,VN000000BID9,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/2015,https://www.vsd.vn/vi/id/1287
135,VN00BID11063,BID1_106,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/1761,https://www.vsd.vn/vi/id/1287
136,VN00BID12061,BID1_206,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/1762,https://www.vsd.vn/vi/id/1287
137,VN0BID101062,BID10106,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/1763,https://www.vsd.vn/vi/id/1287
138,VN0BID101070,BID10107,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/1767,https://www.vsd.vn/vi/id/1287
139,VN0BID102060,BID10206,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/1764,https://www.vsd.vn/vi/id/1287
140,VN0BID103068,BID10306,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/1765,https://www.vsd.vn/vi/id/1287
141,VN0BID104066,BID10406,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/1766,https://www.vsd.vn/vi/id/1287
142,VN0BID109040,BID10904,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/1812,https://www.vsd.vn/vi/id/1287
143,VN0BID119080,BID11908,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/10111,https://www.vsd.vn/vi/id/1287
144,VN0BID121029,BID12102,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/23103,https://www.vsd.vn/vi/id/1287
145,VNBID1210276,BID121027,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/22153,https://www.vsd.vn/vi/id/1287
146,VNBID1210284,BID121028,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/22154,https://www.vsd.vn/vi/id/1287
147,VNBID1220036,BID122003,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/23929,https://www.vsd.vn/vi/id/1287
148,VNBID1220044,BID122004,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/23930,https://www.vsd.vn/vi/id/1287
149,VNBID1220051,BID122005,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://www.vsd.vn/vi/s-detail/23931,https://www.vsd.vn/vi/id/1287
150,VN000000BIG2,BIG,Công ty cổ phần BIG Invest Group,https://www.vsd.vn/vi/s-detail/21213,https://www.vsd.vn/vi/id/6766
151,VN000000BII8,BII,Công ty Cổ phần Louis Land,https://www.vsd.vn/vi/s-detail/2426,https://www.vsd.vn/vi/id/1787
152,VN000000BIO6,BIO,Công ty cổ phần Vắc Xin và Sinh phẩm Nha Trang,https://www.vsd.vn/vi/s-detail/6216,https://www.vsd.vn/vi/id/2498
153,VN000000BJC9,BJC,Công ty cổ phần VRG – Bảo Lộc,https://www.vsd.vn/vi/s-detail/3531,https://www.vsd.vn/vi/id/1986
154,VN000000BKC7,BKC,Công ty cổ phần Khoáng sản Bắc Kạn,https://www.vsd.vn/vi/s-detail/504,https://www.vsd.vn/vi/id/558
155,VN000000BKG8,BKG,Công ty cổ phần Đầu tư BKG Việt Nam,https://www.vsd.vn/vi/s-detail/10971,https://www.vsd.vn/vi/id/2760
156,VN000000BKH6,BKH,Công ty cổ phần Bánh Mứt Kẹo Hà Nội,https://www.vsd.vn/vi/s-detail/6991,https://www.vsd.vn/vi/id/2556
157,VN000000BLF8,BLF,CTCP Thuỷ sản Bạc Liêu,https://www.vsd.vn/vi/s-detail/753,https://www.vsd.vn/vi/id/808
158,VN000000BLI2,BLI,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,https://www.vsd.vn/vi/s-detail/3473,https://www.vsd.vn/vi/id/1980
159,VN000000BLN2,BLN,Công ty cổ phần Vận tải và dịch vụ Liên Ninh,https://www.vsd.vn/vi/s-detail/4194,https://www.vsd.vn/vi/id/2096
160,VN000000BLT9,BLT,Công ty cổ phần Lương thực Bình Định,https://www.vsd.vn/vi/s-detail/4630,https://www.vsd.vn/vi/id/2278
161,VN000000BLU7,BLU,Trung tâm Dịch vụ Đô thị tỉnh Bạc Liêu (Tên doanh nghiệp dự kiến sau khi cổ phần hóa: Công ty cổ phần Công trình Đô thị Bạc Liêu),https://www.vsd.vn/vi/s-detail/8431,https://www.vsd.vn/vi/id/2653
162,VN000000BLW3,BLW,Công ty cổ phần Cấp nước Bạc Liêu,https://www.vsd.vn/vi/s-detail/7311,https://www.vsd.vn/vi/id/2573
163,VN000000BM98,BM9,Công ty cổ phần Đầu tư Xây dựng 319 Miền Nam,https://www.vsd.vn/vi/s-detail/8291,https://www.vsd.vn/vi/id/2647
164,VN000000BMC3,BMC,Công ty Cổ phần Khoáng sản Bình Định,https://www.vsd.vn/vi/s-detail/674,https://www.vsd.vn/vi/id/729
165,VN000000BMD1,BMD,Công ty cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,https://www.vsd.vn/vi/s-detail/4620,https://www.vsd.vn/vi/id/2270
166,VN000000BMF6,BMF,Công ty cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai,https://www.vsd.vn/vi/s-detail/6772,https://www.vsd.vn/vi/id/2540
167,VN000000BMG4,BMG,Công ty cổ phần May Bình Minh,https://www.vsd.vn/vi/s-detail/8073,https://www.vsd.vn/vi/id/2637
168,VN000000BMI0,BMI,Tổng Công ty Cổ phần Bảo Minh,https://www.vsd.vn/vi/s-detail/807,https://www.vsd.vn/vi/id/862
169,VN000000BMJ8,BMJ,Công ty cổ phần Khoáng sản Miền Đông AHP,https://www.vsd.vn/vi/s-detail/751,https://www.vsd.vn/vi/id/806
170,VN000000BMN0,BMN,Công ty cổ phần 715,https://www.vsd.vn/vi/s-detail/3800,https://www.vsd.vn/vi/id/2034
171,VN000000BMP5,BMP,CTCP Nhựa Bình Minh,https://www.vsd.vn/vi/s-detail/563,https://www.vsd.vn/vi/id/616
172,VN000000BMS9,BMS,Công ty cổ phần Chứng khoán Bảo Minh,https://www.vsd.vn/vi/s-detail/6912,https://www.vsd.vn/vi/id/2547
173,VN000000BMV3,BMV,Công ty cổ phần Bột mỳ Vinafood 1,https://www.vsd.vn/vi/s-detail/5051,https://www.vsd.vn/vi/id/2345
