STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
43,Điều chỉnh lần 42,,300.000,0,3.000.000.000,0,02/2020/GCNETF-VSD-42,28/07/2020
44,Điều chỉnh lần 43,,1.100.000,0,11.000.000.000,0,02/2020/GCNETF-VSD,29/07/2020
45,Điều chỉnh lần 44,,4.800.000,0,48.000.000.000,0,02/2020/GCNETF-VSD,30/07/2020
46,Điều chỉnh lần 45,,2.000.000,0,20.000.000.000,0,02/2020/GCNETF-VSD-45,06/08/2020
47,Điều chỉnh lần 46,,500.000,0,5.000.000.000,0,02/2020/GCNETF-VSD-46,07/08/2020
48,Điều chỉnh lần 47,,500.000,0,5.000.000.000,0,số 02/2020/GCNETF-VSD-47,10/08/2020
49,Điều chỉnh lần 48,,700.000,-300.000,7.000.000.000,-3.000.000.000,số 02/2020/GCNETF-VSD-48,11/08/2020
50,Điều chỉnh lần 49,,100.000,0,1.000.000.000,0,02/2020/GCNETF-VSD-49,12/08/2020
51,Điều chỉnh lần 50,,100.000,0,1.000.000.000,0,số 02/2020/GCNETF-VSD-50,17/08/2020
52,Điều chỉnh lần 51,,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-51,18/08/2020
53,Điều chỉnh lần 52,,0,-300.000,0,-3.000.000.000,số 02/2020/GCNETF-VSD-52,19/08/2020
54,Điều chỉnh lần 53,,200.000,-200.000,2.000.000.000,-2.000.000.000,số 02/2020/GCNETF-VSD-53,24/08/2020
55,Điều chỉnh lần 54,,500.000,0,5.000.000.000,0,số 02/2020/GCNETF-VSD-54,25/08/2020
56,Điều chỉnh lần 55,,800.000,-100.000,8.000.000.000,-1.000.000.000,số 02/2020/GCNETF-VSD-55,26/08/2020
57,Điều chỉnh lần 56,,900.000,0,9.000.000.000,0,số 02/2020/GCNETF-VSD-56,27/08/2020
58,Điều chỉnh lần 57,,9.600.000,0,96.000.000.000,0,số 02/2020/GCNETF-VSD-57,28/08/2020
59,Điều chỉnh lần 58,,700.000,-300.000,7.000.000.000,-3.000.000.000,số 02/2020/GCNETF-VSD-58,31/08/2020
60,Điều chỉnh lần 59,,400.000,0,4.000.000.000,0,số 02/2020/GCNETF-VSD-59,01/09/2020
61,Điều chỉnh lần 60,,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-60,03/09/2020
62,Điều chỉnh lần 61,,1.900.000,-200.000,19.000.000.000,-2.000.000.000,số 02/2020/GCNETF-VSD-61,04/09/2020
63,Điều chỉnh lần 62,,300.000,0,3.000.000.000,0,số 02/2020/GCNETF-VSD-62,07/09/2020
64,Điều chỉnh lần 63,,7.600.000,0,76.000.000.000,0,số 02/2020/GCNETF-VSD-63,08/09/2020
65,Điều chỉnh lần 64,,0,-400.000,0,-4.000.000.000,số 02/2020/GCNETF-VSD-64,09/09/2020
66,Điều chỉnh lần 65,,1.200.000,-100.000,12.000.000.000,-1.000.000.000,số 02/2020/GCNETF-VSD-65,10/09/2020
67,Điều chỉnh lần 66,,1.100.000,0,11.000.000.000,0,số 02/2020/GCNETF-VSD-66,11/09/2020
68,Điều chỉnh lần 67,,1.400.000,0,14.000.000.000,0,số 02/2020/GCNETF-VSD-67,14/09/2020
69,Điều chỉnh lần 68,,800.000,0,8.000.000.000,0,số 02/2020/GCNETF-VSD-68,15/09/2020
70,Điều chỉnh lần 69,,0,-700.000,0,-7.000.000.000,số 02/2020/GCNETF-VSD-69,16/09/2020
71,Điều chỉnh lần 70,,300.000,0,3.000.000.000,0,số 02/2020/GCNETF-VSD-70,18/09/2020
72,Điều chỉnh lần 71,,600.000,0,6.000.000.000,0,số 02/2020/GCNETF-VSD-71,21/09/2020
73,Điều chỉnh lần 72,,600.000,0,6.000.000.000,0,số 02/2020/GCNETF-VSD-72,22/09/2020
74,Điều chỉnh lần 73,,2.000.000,-200.000,20.000.000.000,-2.000.000.000,số 02/2020/GCNETF-VSD-73,23/09/2020
75,Điều chỉnh lần 74,,2.300.000,0,23.000.000.000,0,số 02/2020/GCNETF-VSD-74,24/09/2020
76,Điều chỉnh lần 75,,600.000,0,6.000.000.000,0,số 02/2020/GCNETF-VSD-75,25/09/2020
77,Điều chỉnh lần 76,,1.500.000,-200.000,15.000.000.000,-2.000.000.000,số 02/2020/GCNETF-VSD-76,28/09/2020
78,Điều chỉnh lần 77,,1.400.000,0,14.000.000.000,0,số 02/2020/GCNETF-VSD-77,29/09/2020
79,Điều chỉnh lần 78,,300.000,-100.000,3.000.000.000,-1.000.000.000,số 02/2020/GCNETF-VSD-78,30/09/2020
80,Điều chỉnh lần 79,,1.100.000,0,11.000.000.000,0,số 02/2020/GCNETF-VSD-79,01/10/2020
81,Điều chỉnh lần 80,,100.000,0,1.000.000.000,0,số 02/2020/GCNETF-VSD-80,02/10/2020
82,Điều chỉnh lần 81,,100.000,0,1.000.000.000,0,số 02/2020/GCNETF-VSD-81,05/10/2020
83,Điều chỉnh lần 82,,3.500.000,0,35.000.000.000,0,số 02/2020/GCNETF-VSD-82,06/10/2020
84,Điều chỉnh lần 83,,600.000,0,6.000.000.000,0,số 02/2020/GCNETF-VSD-83,07/10/2020
85,Điều chỉnh lần 84,,500.000,-100.000,5.000.000.000,-1.000.000.000,số 02/2020/GCNETF-VSD-84,08/10/2020
86,Điều chỉnh lần 85,,600.000,-100.000,6.000.000.000,-1.000.000.000,số 02/2020/GCNETF-VSD-85,09/10/2020
87,Điều chỉnh lần 86,,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-86,13/10/2020
88,Điều chỉnh lần 87,,100.000,0,1.000.000.000,0,số 02/2020/GCNETF-VSD-87,14/10/2020
89,Điều chỉnh lần 88,,400.000,0,4.000.000.000,0,số 02/2020/GCNETF-VSD-88,15/10/2020
90,Điều chỉnh lần 89,,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-89,16/10/2020
91,Điều chỉnh lần 90,,400.000,-200.000,4.000.000.000,-2.000.000.000,số 02/2020/GCNETF-VSD-90,20/10/2020
92,Điều chỉnh lần 91,,600.000,0,6.000.000.000,0,số 02/2020/GCNETF-VSD-91,21/10/2020
93,Điều chỉnh lần 92,,0,-200.000,0,-2.000.000.000,số 02/2020/GCNETF-VSD-92,22/10/2020
94,Điều chỉnh lần 93,,0,-1.000.000,0,-10.000.000.000,số 02/2020/GCNETF-VSD-93,26/10/2020
95,Điều chỉnh lần 94,,300.000,0,3.000.000.000,0,số 02/2020/GCNETF-VSD-94,27/10/2020
96,Điều chỉnh lần 95,,600.000,0,6.000.000.000,0,số 02/2020/GCNETF-VSD-95,28/10/2020
97,Điều chỉnh lần 96,,900.000,-600.000,9.000.000.000,-6.000.000.000,số 02/2020/GCNETF-VSD-96,29/10/2020
98,Điều chỉnh lần 97,,600.000,0,6.000.000.000,0,số 02/2020/GCNETF-VSD-97,05/11/2020
99,Điều chỉnh lần 98,,600.000,-100.000,6.000.000.000,-1.000.000.000,số 02/2020/GCNETF-VSD-98,06/11/2020
100,Điều chỉnh lần 99,,400.000,-500.000,4.000.000.000,-5.000.000.000,số 02/2020/GCNETF-VSD-99,09/11/2020
101,Điều chỉnh lần 100,,1.300.000,-1.800.000,13.000.000.000,-18.000.000.000,số 02/2020/GCNETF-VSD-100,10/11/2020
102,Điều chỉnh lần 101,,1.600.000,0,16.000.000.000,0,số 02/2020/GCNETF-VSD-101,11/11/2020
103,Điều chỉnh lần 102,,100.000,-300.000,1.000.000.000,-3.000.000.000,số 02/2020/GCNETF-VSD-102,12/11/2020
104,Điều chỉnh lần 103,,200.000,-200.000,2.000.000.000,-2.000.000.000,số 02/2020/GCNETF-VSD-103,13/11/2020
105,Điều chỉnh lần 104,,600.000,-2.300.000,6.000.000.000,-23.000.000.000,số 02/2020/GCNETF-VSD-104,16/11/2020
106,Điều chỉnh lần 105,,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-105,17/11/2020
107,Điều chỉnh lần 105,,0,-1.100.000,0,-11.000.000.000,số 02/2020/GCNETF-VSD-105,18/11/2020
108,Điều chỉnh lần 107,,1.400.000,0,14.000.000.000,0,số 02/2020/GCNETF-VSD-107,23/11/2020
109,Điều chỉnh lần 108,,1.000.000,0,10.000.000.000,0,số 02/2020/GCNETF-VSD-108,24/11/2020
110,Điều chỉnh lần 109,,700.000,0,7.000.000.000,0,số 02/2020/GCNETF-VSD-109,25/11/2020
111,Điều chỉnh lần 110,,300.000,0,3.000.000.000,0,số 02/2020/GCNETF-VSD-110,26/11/2020
112,Điều chỉnh lần 111,,4.000.000,0,40.000.000.000,0,số 02/2020/GCNETF-VSD-111,27/11/2020
113,Điều chỉnh lần 112,Đăng ký bổ sung,15.200.000,0,152.000.000.000,0,số 02/2020/GCNETF-VSD-112,30/11/2020
114,Điều chỉnh lần 113,Đăng ký bổ sung,20.200.000,0,202.000.000.000,0,số 02/2020/GCNETF-VSD-113,01/12/2020
115,Điều chỉnh lần 114,Đăng ký bổ sung,12.600.000,0,126.000.000.000,0,số 02/2020/GCNETF-VSD-114,02/12/2020
116,Điều chỉnh lần 115,,1.000.000,0,10.000.000.000,0,số 02/2020/GCNETF-VSD-115,03/12/2020
117,Điều chỉnh lần 116,,2.500.000,0,25.000.000.000,0,số 02/2020/GCNETF-VSD-116,04/12/2020
118,Điều chỉnh lần 117,,1.200.000,0,12.000.000.000,0,số 02/2020/GCNETF-VSD-117,07/12/2020
119,Điều chỉnh lần 118,,2.400.000,0,24.000.000.000,0,số 02/2020/GCNETF-VSD-118,08/12/2020
120,Điều chỉnh lần 119,,5.500.000,-100.000,55.000.000.000,-1.000.000.000,số 02/2020/GCNETF-VSD-119,09/12/2020
121,Điều chỉnh lần 120,,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-120,10/12/2020
122,Điều chỉnh lần 121,,7.900.000,0,79.000.000.000,0,số 02/2020/GCNETF-VSD-121,11/12/2020
123,Điều chỉnh lần 122,,13.100.000,0,131.000.000.000,0,số 02/2020/GCNETF-VSD-122,14/12/2020
124,Điều chỉnh lần 123,,13.100.000,-100.000,131.000.000.000,-1.000.000.000,số 02/2020/GCNETF-VSD-123,15/12/2020
125,Điều chỉnh lần 124,,10.900.000,0,109.000.000.000,0,số 02/2020/GCNETF-VSD-124,16/12/2020
126,Điều chỉnh lần 125,,400.000,0,4.000.000.000,0,số 02/2020/GCNETF-VSD-125,17/12/2020
127,Điều chỉnh lần 126,,4.300.000,0,43.000.000.000,0,số 02/2020/GCNETF-VSD-126,18/12/2020
128,Điều chỉnh lần 127,,700.000,0,7.000.000.000,0,số 02/2020/GCNETF-VSD-127,21/12/2020
129,Điều chỉnh lần 128,,6.000.000,0,60.000.000.000,0,số 02/2020/GCNETF-VSD-128,22/12/2020
130,Điều chỉnh lần 129,,400.000,0,4.000.000.000,0,số 02/2020/GCNETF-VSD-129,23/12/2020
131,Điều chỉnh lần 130,,1.300.000,0,13.000.000.000,0,số 02/2020/GCNETF-VSD-130,24/12/2020
132,Điều chỉnh lần 131,,800.000,0,8.000.000.000,0,số 02/2020/GCNETF-VSD-131,25/12/2020
133,Điều chỉnh lần 132,,700.000,0,7.000.000.000,0,số 02/2020/GCNETF-VSD-132,28/12/2020
134,Điều chỉnh lần 133,,4.700.000,0,47.000.000.000,0,số 02/2020/GCNETF-VSD-133,29/12/2020
135,Điều chỉnh lần 134,,1.200.000,0,12.000.000.000,0,số 02/2020/GCNETF-VSD-134,30/12/2020
136,Điều chỉnh lần 135,,2.000.000,0,20.000.000.000,0,số 02/2020/GCNETF-VSD-135,31/12/2020
137,Điều chỉnh lần 136,,4.200.000,0,42.000.000.000,0,số 02/2020/GCNETF-VSD-136,04/01/2021
138,Điều chỉnh lần 137,,1.000.000,0,10.000.000.000,0,số 02/2020/GCNETF-VSD-137,05/01/2021
139,Điều chỉnh lần 138,,1.000.000,0,10.000.000.000,0,số 02/2020/GCNETF-VSD-138,06/01/2021
140,Điều chỉnh lần 139,,1.000.000,0,10.000.000.000,0,số 02/2020/GCNETF-VSD-139,07/01/2021
141,Điều chỉnh lần 140,,1.900.000,0,19.000.000.000,0,số 02/2020/GCNETF-VSD-140,08/01/2021
142,Điều chỉnh lần 141,,3.400.000,0,34.000.000.000,0,số 02/2020/GCNETF-VSD-141,11/01/2021
143,Điều chỉnh lần 142,,4.800.000,0,48.000.000.000,0,số 02/2020/GCNETF-VSD-142,12/01/2021
144,Điều chỉnh lần 143,,4.200.000,0,42.000.000.000,0,số 02/2020/GCNETF-VSD-143,13/01/2021
145,Điều chỉnh lần 144,,9.600.000,0,96.000.000.000,0,số 02/2020/GCNETF-VSD-144,14/01/2021
146,Điều chỉnh lần 145,,2.100.000,0,21.000.000.000,0,số 02/2020/GCNETF-VSD-145,15/01/2021
147,Điều chỉnh lần 146,,2.400.000,0,24.000.000.000,0,02/2020/GCNETF-VSD-146,18/01/2021
148,Điều chỉnh lần 147,,8.900.000,0,89.000.000.000,0,số 02/2020/GCNETF-VSD-147,19/01/2021
149,Điều chỉnh lần 148,,800.000,0,8.000.000.000,0,02/2020/GCNETF-VSD-148,20/01/2021
150,Điều chỉnh lần 149,,5.800.000,0,58.000.000.000,0,02/2020/GCNETF-VSD-149,21/01/2021
151,Điều chỉnh lần 150,,4.100.000,0,41.000.000.000,0,số 02/2020/GCNETF-VSD-150,22/01/2021
152,Điều chỉnh lần 151,,1.400.000,0,14.000.000.000,0,02/2020/GCNETF-VSD-151,25/01/2021
153,Điều chỉnh lần 152,,2.200.000,0,22.000.000.000,0,02/2020/GCNETF-VSD-152,26/01/2021
154,Điều chỉnh lần 153,,8.300.000,0,83.000.000.000,0,02/2020/GCNETF-VSD-153,27/01/2021
155,Điều chỉnh lần 154,,5.200.000,0,52.000.000.000,0,02/2020/GCNETF-VSD-154,28/01/2021
156,Điều chỉnh lần 155,,24.100.000,0,241.000.000.000,0,02/2020/GCNETF-VSD-155,04/02/2021
157,Điều chỉnh lần 156,,15.600.000,0,156.000.000.000,0,02/2020/GCNETF-VSD-156,05/02/2021
158,Điều chỉnh lần 157,,11.600.000,0,116.000.000.000,0,02/2020/GCNETF-VSD-157,08/02/2021
159,Điều chỉnh lần 158,,1.700.000,0,17.000.000.000,0,02/2020/GCNETF-VSD-158,09/02/2021
160,Điều chỉnh lần 159,,2.100.000,0,21.000.000.000,0,02/2020/GCNETF-VSD-159,17/02/2021
161,Điều chỉnh lần 160,,1.500.000,-400.000,15.000.000.000,-4.000.000.000,02/2020/GCNETF-VSD-160,18/02/2021
162,Điều chỉnh lần 161,,6.000.000,0,60.000.000.000,0,02/2020/GCNETF-VSD-161,19/02/2021
163,Điều chỉnh lần 162,,3.200.000,0,32.000.000.000,0,02/2020/GCNETF-VSD-162,22/02/2021
164,Điều chỉnh lần 163,,100.000,0,1.000.000.000,0,02/2020/GCNETF-VSD-163,23/02/2021
165,Điều chỉnh lần 164,,800.000,0,8.000.000.000,0,02/2020/GCNETF-VSD-164,24/02/2021
166,Điều chỉnh lần 165,,1.100.000,0,11.000.000.000,0,02/2020/GCNETF-VSD-165,25/02/2021
167,Điều chỉnh lần 166,,500.000,0,5.000.000.000,0,02/2020/GCNETF-VSD-166,26/02/2021
168,Điều chỉnh lần 167,,100.000,0,1.000.000.000,0,02/2020/GCNETF-VSD-167,01/03/2021
169,Điều chỉnh lần 168,,300.000,0,3.000.000.000,0,02/2020/GCNETF-VSD-168,02/03/2021
170,Điều chỉnh lần 169,,1.300.000,0,13.000.000.000,0,02/2020/GCNETF-VSD-169,03/03/2021
171,Điều chỉnh lần 170,,700.000,0,7.000.000.000,0,02/2020/GCNETF-VSD-170,04/03/2021
172,Điều chỉnh lần 171,,2.600.000,0,26.000.000.000,0,02/2020/GCNETF-VSD-171,05/03/2021
173,Điều chỉnh lần 172,,900.000,0,9.000.000.000,0,02/2020/GCNETF-VSD-172,08/03/2021
174,Điều chỉnh lần 173,,700.000,0,7.000.000.000,0,2/2020/GCNETF-VSD-173,09/03/2021
175,Điều chỉnh lần 174,,4.500.000,0,45.000.000.000,0,02/2020/GCNETF-VSD-174,10/03/2021
176,Điều chỉnh lần 175,,700.000,0,7.000.000.000,0,02/2020/GCNETF-VSD-175,11/03/2021
177,Điều chỉnh lần 176,,6.000.000,0,60.000.000.000,0,02/2020/GCNETF-VSD-176,12/03/2021
178,Điều chỉnh lần 177,,1.200.000,0,12.000.000.000,0,02/2020/GCNETF-VSD-177,15/03/2021
179,Điều chỉnh lần 178,,1.800.000,0,18.000.000.000,0,02/2020/GCNETF-VSD-178,16/03/2021
180,Điều chỉnh lần 179,,9.800.000,0,98.000.000.000,0,02/2020/GCNETF-VSD-179,17/03/2021
181,Điều chỉnh lần 180,,3.200.000,0,32.000.000.000,0,02/2020/GCNETF-VSD-180,18/03/2021
182,Điều chỉnh lần 181,,2.400.000,-300.000,24.000.000.000,-3.000.000.000,02/2020/GCNETF-VSD-181,19/03/2021
183,Điều chỉnh lần 182,,500.000,0,5.000.000.000,0,02/2020/GCNETF-VSD-182,22/03/2021
184,Điều chỉnh lần 183,,600.000,0,6.000.000.000,0,02/2020/GCNETF-VSD-183,23/03/2021
185,Điều chỉnh lần 184,,1.400.000,0,14.000.000.000,0,02/2020/GCNETF-VSD-184,24/03/2021
186,Điều chỉnh lần 185,,1.000.000,0,10.000.000.000,0,02/2020/GCNETF-VSD-185,25/03/2021
187,Điều chỉnh lần 186,,1.200.000,0,12.000.000.000,0,02/2020/GCNETF-VSD-186,26/03/2021
188,Điều chỉnh lần 187,,900.000,0,9.000.000.000,0,02/2020/GCNETF-VSD-187,29/03/2021
189,Điều chỉnh lần 188,,1.100.000,0,11.000.000.000,0,02/2020/GCNETF-VSD-188,30/03/2021
190,Điều chỉnh lần 189,,100.000,-100.000,1.000.000.000,-1.000.000.000,02/2020/GCNETF-VSD-189,31/03/2021
191,Điều chỉnh lần 190,,200.000,0,2.000.000.000,0,02/2020/GCNETF-VSD-190,01/04/2021
192,Điều chỉnh lần 191,,300.000,0,3.000.000.000,0,02/2020/GCNETF-VSD-191,02/04/2021
193,Điều chỉnh lần 192,,900.000,0,9.000.000.000,0,02/2020/GCNETF-VSD-192,05/04/2021
194,Điều chỉnh lần 193,,1.000.000,0,10.000.000.000,0,02/2020/GCNETF-VSD-193,06/04/2021
195,Điều chỉnh lần 194,,4.500.000,0,45.000.000.000,0,02/2020/GCNETF-VSD-194,08/04/2021
196,Điều chỉnh lần 195,,1.000.000,-400.000,10.000.000.000,-4.000.000.000,02/2020/GCNETF-VSD-195,12/04/2021
197,Điều chỉnh lần 196,,2.400.000,0,24.000.000.000,0,02/2020/GCNETF-VSD-196,13/04/2021
198,Điều chỉnh lần 197,,500.000,-200.000,5.000.000.000,-2.000.000.000,02/2020/GCNETF-VSD-197,14/04/2021
199,Điều chỉnh lần 198,,1.200.000,0,12.000.000.000,0,02/2020/GCNETF-VSD-198,16/04/2021
200,Điều chỉnh lần 199,,1.300.000,0,13.000.000.000,0,02/2020/GCNETF-VSD-199,19/04/2021
201,Điều chỉnh lần 200,,500.000,0,5.000.000.000,0,02/2020/GCNETF-VSD-200,20/04/2021
202,Điều chỉnh lần 201,,700.000,-200.000,7.000.000.000,-2.000.000.000,02/2020/GCNETF-VSD-201,22/04/2021
203,Điều chỉnh lần 202,,300.000,-100.000,3.000.000.000,-1.000.000.000,02/2020/GCNETF-VSD-202,23/04/2021
204,Điều chỉnh lần 203,,700.000,-1.100.000,7.000.000.000,-11.000.000.000,02/2020/GCNETF-VSD-203,26/04/2021
205,Điều chỉnh lần 204,,16.800.000,-900.000,168.000.000.000,-9.000.000.000,02/2020/GCNETF-VSD-204,27/04/2021
206,Điều chỉnh lần 205,,6.500.000,0,65.000.000.000,0,02/2020/GCNETF-VSD-205,10/05/2021
207,Điều chỉnh lần 206,,2.400.000,0,24.000.000.000,0,02/2020/GCNETF-VSD-206,11/05/2021
208,Điều chỉnh lần 207,,1.700.000,0,17.000.000.000,0,02/2020/GCNETF-VSD-207,12/05/2021
209,Điều chỉnh lần 208,,300.000,-100.000,3.000.000.000,-1.000.000.000,02/2020/GCNETF-VSD-208,13/05/2021
210,Điều chỉnh lần 209,,300.000,0,3.000.000.000,0,02/2020/GCNETF-VSD-209,17/05/2021
211,Điều chỉnh lần 210,,0,-500.000,0,-5.000.000.000,02/2020/GCNETF-VSD-210,21/05/2021
212,Điều chỉnh lần 211,,0,-8.000.000,0,-80.000.000.000,02/2020/GCNETF-VSD-211,26/05/2021
213,Điều chỉnh lần 212,,0,-200.000,0,-2.000.000.000,02/2020/GCNETF-VSD-212,28/05/2021
214,Điều chỉnh lần 213,,300.000,0,3.000.000.000,0,02/2020/GCNETF-VSD-213,31/05/2021
215,Điều chỉnh lần 214,,100.000,-1.400.000,1.000.000.000,-14.000.000.000,02/2020/GCNETF-VSD-214,01/06/2021
216,Điều chỉnh lần 215,,0,-2.300.000,0,-23.000.000.000,02/2020/GCNETF-VSD-215,02/06/2021
217,Điều chỉnh lần 216,,800.000,-1.300.000,8.000.000.000,-13.000.000.000,02/2020/GCNETF-VSD-216,03/06/2021
218,Điều chỉnh lần 217,,500.000,0,5.000.000.000,0,02/2020/GCNETF-VSD-217,04/06/2021
219,Điều chỉnh lần 219,,1.200.000,0,12.000.000.000,0,02/2020/GCNETF-VSD-219,08/06/2021
220,Điều chỉnh lần 220,,1.800.000,-700.000,18.000.000.000,-7.000.000.000,02/2020/GCNETF-VSD-220,09/06/2021
221,Điều chỉnh lần 221,,1.200.000,0,12.000.000.000,0,02/2020/GCNETF-VSD-221,10/06/2021
222,Điều chỉnh lần 222,,1.400.000,0,14.000.000.000,0,02/2020/GCNETF-VSD-222,11/06/2021
223,Điều chỉnh lần 223,,1.100.000,0,11.000.000.000,0,02/2020/GCNETF-VSD-223,14/06/2021
224,Điều chỉnh lần 224,,1.200.000,0,12.000.000.000,0,02/2020/GCNETF-VSD-224,15/06/2021
225,Điều chỉnh lần 225,,800.000,-5.000.000,8.000.000.000,-50.000.000.000,02/2020/GCNETF-VSD-225,16/06/2021
