STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
50,Điều chỉnh lần 49,Giao dịch hoán đổi,0,-500.000,0,-5.000.000.000,Số 01/2014/GCNETF-VSD-49,28/06/2016
51,Điều chỉnh lần 50,Giao dịch hoán đổi,0,-300.000,0,-3.000.000.000,số 01/2014/GCNETF-VSD-50,29/06/2016
52,Điều chỉnh lần 51,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 01/2014/GCNETF-VSD-51,04/07/2016
53,Điều chỉnh lần 52,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,số 01/2014/GCNETF-VSD-52,08/07/2016
54,Điều chỉnh lần 53,Giao dịch hoán đổi,0,-1.500.000,0,-15.000.000.000,số 01/2014/GCNETF-VSD-53,11/07/2016
55,Điều chỉnh lần 54,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,số 01/2014/GCNETF-VSD-54,13/07/2016
56,Điều chỉnh lần 55,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,số 01/2014/GCNETF-VSD-55,14/07/2016
57,Điều chỉnh lần 56,Giao dịch hoán đổi,400.000,0,4.000.000.000,0,số 01/2014/GCNETF-VSD-56,18/07/2016
58,Điều chỉnh lần 57,Giao dịch hoán đổi,400.000,0,4.000.000.000,0,số 01/2014/GCNETF-VSD-57,19/07/2016
59,Điều chỉnh lần 58,Giao dịch hoán đổi,2.000.000,0,20.000.000.000,0,số 01/2014/GCNETF-VSD-58,26/07/2016
60,Điều chỉnh lần 59,Giao dịch hoán đổi,2.000.000,0,20.000.000.000,0,số 01/2014/GCNETF-VSD-59,28/07/2016
61,Điều chỉnh lần 60,Giao dịch hoán đổi,1.500.000,0,15.000.000.000,0,số 01/2014/GCNETF-VSD-60,29/07/2016
62,Điều chỉnh lần 61,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-61,01/08/2016
63,Điều chỉnh lần 62,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,Số 01/2014/GCNETF-VSD-62,03/08/2016
64,Điều chỉnh lần 63,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,Số 01/2014/GCNETF-VSD-63,10/08/2016
65,Điều chỉnh lần 64,Giao dịch hoán đổi,0,-500.000,0,-5.000.000.000,01/2014/GCNETF-VSD-64,09/09/2016
66,Điều chỉnh lần 65,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-65,19/09/2016
67,Điều chỉnh lần 66,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-66,23/09/2016
68,Điều chỉnh lần 67,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,Số 01/2014/GCNETF-VSD-67,04/10/2016
69,Điều chỉnh lần 68,Giao dịch hoán đổi,700.000,0,7.000.000.000,0,số 01/2014/GCNETF-VSD-68,05/10/2016
70,Điều chỉnh lần 69,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-69,10/10/2016
71,Điều chỉnh lần 70,Giao dịch hoán đổi,600.000,0,6.000.000.000,0,số 01/2014/GCNETF-VSD-70,12/10/2016
72,Điều chỉnh lần 71,Giao dịch hoán đổi,300.000,0,3.000.000.000,0,số 01/2014/GCNETF-VSD-71,13/10/2016
73,Điều chỉnh lần 72,Giao dịch hoán đổi,300.000,0,3.000.000.000,0,số 01/2014/GCNETF-VSD-72,14/10/2016
74,Điều chỉnh lần 73,Giao dịch hoán đổi,0,-500.000,0,-5.000.000.000,số 01/2014/GCNETF-VSD-73,26/10/2016
75,Điều chỉnh lần 74,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-74,04/11/2016
76,Điều chỉnh lần 75,Giao dịch hoán đổi,800.000,0,8.000.000.000,0,số 01/2014/GCNETF-VSD-75,09/11/2016
77,Điều chỉnh lần 76,Giao dịch hoán đổi,0,-200.000,0,-2.000.000.000,số 01/2014/GCNETF-VSD-76,10/11/2016
78,Điều chỉnh lần 77,Giao dịch hoán đổi,0,-500.000,0,-5.000.000.000,số 01/2014/GCNETF-VSD-77,17/11/2016
79,Điều chỉnh lần 78,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,số 01/2014/GCNETF-VSD-78,18/11/2016
80,Điều chỉnh lần 79,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,số 01/2014/GCNETF-VSD-79,21/11/2016
81,Điều chỉnh lần 80,Giao dịch hoán đổi,0,-200.000,0,-2.000.000.000,số 01/2014/GCNETF-VSD-80,02/12/2016
82,Điều chỉnh lần 81,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 01/2014/GCNETF-VSD-81,08/12/2016
83,Điều chỉnh lần 82,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-82,12/12/2016
84,Điều chỉnh lần 83,Giao dịch hoán đổi,0,-500.000,0,-5.000.000.000,số 01/2014/GCNETF-VSD-83,09/01/2017
85,Điều chỉnh lần 84,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,số 01/2014/GCNETF-VSD-84,10/01/2017
86,Điều chỉnh lần 85,Giao dịch hoán đổi,0,-100.000,0,-1.000.000.000,số 01/2014/GCNETF-VSD-85,11/01/2017
87,Điều chỉnh lần 86,Giao dịch hoán đổi,400.000,0,4.000.000.000,0,số 01/2014/GCNETF-VSD-86,19/01/2017
88,Điều chỉnh lần 87,Giao dịch hoán đổi,0,-200.000,0,-2.000.000.000,số 01/2014/GCNETF-VSD-87,16/02/2017
89,Điều chỉnh lần 88,Giao dịch hoán đổi,100.000,0,1.000.000.000,0,số 01/2014/GCNETF-VSD-88,15/03/2017
90,Điều chỉnh lần 89,Giao dịch hoán đổi,0,-100.000,0,-1.000.000.000,số 01/2014/GCNETF-VSD-89,16/03/2017
91,Điều chỉnh lần 90,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,số 01/2014/GCNETF-VSD-90,23/03/2017
92,Điều chỉnh lần 91,Giao dịch hoán đổi,0,-500.000,0,-5.000.000.000,số 01/2014/GCNETF-VSD-91,24/03/2017
93,Điều chỉnh lần 92,Giao dịch hoán đổi,0,-500.000,0,-5.000.000.000,số 01/2014/GCNETF-VSD-92,27/03/2017
94,Điều chỉnh lần 93,,900.000,0,9.000.000.000,0,01/2014/GCNETF-VSD-93,26/04/2017
95,Điều chỉnh lần 94,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,01/2014/GCNETF-VSD-94,27/04/2017
96,Điều chỉnh lần 95,,500.000,0,5.000.000.000,0,01/2014/GCNETF-VSD-95,28/04/2017
97,Điều chỉnh lần 96,,1.600.000,0,16.000.000.000,0,01/2014/GCNETF-VSD-96,05/06/2017
98,Điều chỉnh lần 97,Giao dịch hoán đổi,200.000,0,2.000.000.000,0,01/2014/GCNETF-VSD-97,14/06/2017
99,Điều chỉnh lần 98,,200.000,0,2.000.000.000,0,01/2014/GCNETF-VSD-98,20/06/2017
100,Điều chỉnh lần 99,Đăng ký bổ sung,500.000,0,5.000.000.000,0,01/2014/GCNETF-VSD-99,21/06/2017
101,Điều chỉnh lần 100,,800.000,0,8.000.000.000,0,01/2014/GCNETF-VSD-100,22/06/2017
102,Điều chỉnh lần 101,Giao dịch hoán đổi,3.000.000,0,30.000.000.000,0,01/2014/GCNETF-VSD-101,23/06/2017
103,Điều chỉnh lần 102,Giao dịch hoán đổi,2.200.000,0,22.000.000.000,0,01/2014/GCNETF-VSD-102,28/06/2017
104,Điều chỉnh lần 103,Giao dịch hoán đổi,200.000,0,2.000.000.000,0,01/2014/GCNETF-VSD-103,03/07/2017
105,Điều chỉnh lần 104,Giao dịch hoán đổi,300.000,-900.000,3.000.000.000,-9.000.000.000,01/2014/GCNETF-VSD-104,04/07/2017
106,Điều chỉnh lần 105,Giao dịch hoán đổi,400.000,0,4.000.000.000,0,01/2014/GCNETF-VSD-105,05/07/2017
107,Điều chỉnh lần 106,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,01/2014/GCNETF-VSD-106,06/07/2017
108,Điều chỉnh lần 107,Giao dịch hoán đổi,300.000,0,3.000.000.000,0,01/2014/GCNETF-VSD-107,07/07/2017
109,Điều chỉnh lần 108,,1.300.000,0,13.000.000.000,0,01/2014/GCNETF-VSD-108,10/07/2017
110,Điều chỉnh lần 109,,2.700.000,0,27.000.000.000,0,01/2014/GCNETF-VSD-109,11/07/2017
111,Điều chỉnh lần 110,,3.200.000,0,32.000.000.000,0,01/2014/GCNETF-VSD-110,12/07/2017
112,Điều chỉnh lần 111,,1.000.000,0,10.000.000.000,0,01/2014/GCNETF-VSD-111,13/07/2017
113,Điều chỉnh lần 112,,600.000,0,6.000.000.000,0,01/2014/GCNETF-VSD-112,14/07/2017
114,Điều chỉnh lần 113,,2.500.000,0,25.000.000.000,0,01/2014/GCNETF-VSD-113,17/07/2017
115,Điều chỉnh lần 114,Giao dịch hoán đổi,1.500.000,0,15.000.000.000,0,01/2014/GCNETF-VSD-114,18/07/2017
116,Điều chỉnh lần 115,,4.000.000,0,40.000.000.000,0,01/2014/GCNETF-VSD-115,19/07/2017
117,Điều chỉnh lần 116,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,01/2014/GCNETF-VSD-116,20/07/2017
118,Điều chỉnh lần 117,Giao dịch hoán đổi,3.300.000,0,33.000.000.000,0,01/2014/GCNETF-VSD-117,21/07/2017
119,Điều chỉnh lần 118,,1.300.000,0,13.000.000.000,0,01/2014/GCNETF-VSD-118,24/07/2017
120,Điều chỉnh lần 119,,1.500.000,0,15.000.000.000,0,01/2014/GCNETF-VSD-119,25/07/2017
121,Điều chỉnh lần 120,,1.600.000,0,16.000.000.000,0,01/2014/GCNETF-VSD-120,26/07/2017
122,Điều chỉnh lần 121,,1.000.000,0,10.000.000.000,0,01/2014/GCNETF-VSD-121,27/07/2017
123,Điều chỉnh lần 122,,1.500.000,0,15.000.000.000,0,01/2014/GCNETF-VSD-122,28/07/2017
124,Điều chỉnh lần 123,Giao dịch hoán đổi,2.000.000,0,20.000.000.000,0,01/2014/GCNETF-VSD-123,03/08/2017
125,Điều chỉnh lần 124,,500.000,0,5.000.000.000,0,01/2014/GCNETF-VSD-124,09/08/2017
126,Điều chỉnh lần 125,,1.500.000,0,15.000.000.000,0,01/2014/GCNETF-VSD-125,30/08/2017
127,Điều chỉnh lần 126,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,01/2014/GCNETF-VSD-126,31/08/2017
128,Điều chỉnh lần 127,,0,-1.500.000,0,-15.000.000.000,01/2014/GCNETF-VSD-127,13/09/2017
129,Điều chỉnh lần 128,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,01/2014/GCNETF-VSD-128,14/09/2017
130,Điều chỉnh lần 129,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,01/2014/GCNETF-VSD-129,15/09/2017
131,Điều chỉnh lần 130,,0,-500.000,0,-5.000.000.000,130 số 01/2014/GCNETF-VSD-130,18/09/2017
132,Điều chỉnh lần 131,,500.000,-1.000.000,5.000.000.000,-10.000.000.000,01/2014/GCNETF-VSD-131,20/09/2017
133,Điều chỉnh lần 1,,0,-1.000.000,0,-10.000.000.000,01/2014/GCNETF-VSD-132,29/09/2017
134,Điều chỉnh lần 133,Giao dịch hoán đổi,0,-700.000,0,-7.000.000.000,01/2014/GCNETF-VSD-133,02/10/2017
135,Điều chỉnh lần 134,,0,-1.000.000,0,-10.000.000.000,01/2014/GCNETF-VSD-134,04/10/2017
136,Điều chỉnh lần 135,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,01/2014/GCNETF-VSD-135,06/10/2017
137,Điều chỉnh lần 136,,2.500.000,0,25.000.000.000,0,01/2014/GCNETF-VSD-136,17/10/2017
138,Điều chỉnh lần 137,,1.200.000,0,12.000.000.000,0,01/2014/GCNETF-VSD-137,18/10/2017
139,Điều chỉnh lần 138,,1.400.000,0,14.000.000.000,0,01/2014/GCNETF-VSD-138,19/10/2017
140,Điều chỉnh lần 139,,1.000.000,0,10.000.000.000,0,01/2014/GCNETF-VSD-139,20/10/2017
141,Điều chỉnh lần 140,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,01/2014/GCNETF-VSD-140,23/10/2017
142,Điều chỉnh lần 141,Giao dịch hoán đổi,2.400.000,0,24.000.000.000,0,01/2014/GCNETF-VSD-141,24/10/2017
143,Điều chỉnh lần 142,,2.000.000,0,20.000.000.000,0,01/2014/GCNETF-VSD-142,25/10/2017
144,Điều chỉnh lần 143,Giao dịch hoán đổi,6.000.000,0,60.000.000.000,0,số 01/2014/-VSD-143,26/10/2017
145,Điều chỉnh lần 144,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,01/2014/GCNETF-VSD-144,27/10/2017
146,Điều chỉnh lần 145,Giao dịch hoán đổi,6.200.000,0,62.000.000.000,0,số 01/2014/GCNETF-VSD-145,30/10/2017
147,Điều chỉnh lần 146,Giao dịch hoán đổi,6.500.000,0,65.000.000.000,0,số 01/2014/GCNETF-VSD-146,31/10/2017
148,Điều chỉnh lần 147,Giao dịch hoán đổi,2.500.000,0,25.000.000.000,0,số 01/2014/GCNETF-VSD-147,01/11/2017
149,Điều chỉnh lần 148,Giao dịch hoán đổi,6.000.000,0,60.000.000.000,0,số 01/2014/GCNETF-VSD-148,06/11/2017
150,Điều chỉnh lần 149,Giao dịch hoán đổi,1.300.000,0,13.000.000.000,0,số 01/2014/GCNETF-VSD-149,07/11/2017
151,Điều chỉnh lần 150,Giao dịch hoán đổi,400.000,0,4.000.000.000,0,số	01/2014/GCNETF-VSD-150,09/11/2017
152,Điều chỉnh lần 151,Giao dịch hoán đổi,0,-1.600.000,0,-16.000.000.000,số 01/2014/GCNETF-VSD-151,14/11/2017
153,Điều chỉnh lần 152,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,số 01/2014/GCNETF-VSD-152,15/11/2017
154,Điều chỉnh lần 153,Giao dịch hoán đổi,0,-1.000.000,0,-10.000.000.000,số 01/2014/GCNETF-VSD-153,16/11/2017
155,Điều chỉnh lần 154,Giao dịch hoán đổi,1.500.000,0,15.000.000.000,0,số 01/2014/GCNETF-VSD-154,20/11/2017
156,Điều chỉnh lần 155,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 01/2014/GCNETF-VSD-155,21/11/2017
157,Điều chỉnh lần 156,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 01/2014/GCNETF-VSD-156,22/11/2017
158,Điều chỉnh lần 157,Giao dịch hoán đổi,3.900.000,0,39.000.000.000,0,số 01/2014/GCNETF-VSD-157,24/11/2017
159,Điều chỉnh lần 158,Giao dịch hoán đổi,1.100.000,0,11.000.000.000,0,số 01/2014/GCNETF-VSD-158,27/11/2017
160,Điều chỉnh lần 159,Giao dịch hoán đổi,2.300.000,0,23.000.000.000,0,số 01/2014/GCNETF-VSD-159,28/11/2017
161,Điều chỉnh lần 160,Giao dịch hoán đổi,1.000.000,-300.000,10.000.000.000,-3.000.000.000,số 01/2014/GCNETF-VSD-160,29/11/2017
162,Điều chỉnh lần 161,Giao dịch hoán đổi,4.200.000,0,42.000.000.000,0,số 01/2014/GCNETF-VSD-161,30/11/2017
163,Điều chỉnh lần 162,Giao dịch hoán đổi,4.300.000,0,43.000.000.000,0,số 01/2014/GCNETF-VSD-162,01/12/2017
164,Điều chỉnh lần 163,Giao dịch hoán đổi,1.400.000,0,14.000.000.000,0,số 01/2014/GCNETF-VSD-163,04/12/2017
165,Điều chỉnh lần 164,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 01/2014/GCNETF-VSD-164,05/12/2017
166,Điều chỉnh lần 165,Giao dịch hoán đổi,3.000.000,0,30.000.000.000,0,số 01/2014/GCNETF-VSD-165,06/12/2017
167,Điều chỉnh lần 166,Giao dịch hoán đổi,4.300.000,0,43.000.000.000,0,số 01/2014/GCNETF-VSD-166,07/12/2017
168,Điều chỉnh lần 168,Giao dịch hoán đổi,4.600.000,0,46.000.000.000,0,số 01/2014/GCNETF-VSD-168,08/12/2017
169,Điều chỉnh lần 168,Giao dịch hoán đổi,1.500.000,0,15.000.000.000,0,số 01/2014/GCNETF-VSD-168,11/12/2017
170,Điều chỉnh lần 169,Giao dịch hoán đổi,1.500.000,0,15.000.000.000,0,01/2014/GCNETF-VSD-169,12/12/2017
171,Điều chỉnh lần 170,Giao dịch hoán đổi,700.000,0,7.000.000.000,0,số 01/2014/GCNETF-VSD-170,13/12/2017
172,Điều chỉnh lần 171,Giao dịch hoán đổi,3.000.000,0,30.000.000.000,0,số 01/2014/GCNETF-VSD-171,14/12/2017
173,Điều chỉnh lần 172,Giao dịch hoán đổi,600.000,0,6.000.000.000,0,số 01/2014/GCNETF-VSD-172,15/12/2017
174,Điều chỉnh lần 173,Giao dịch hoán đổi,1.300.000,0,13.000.000.000,0,số 01/2014/GCNETF-VSD-173,18/12/2017
175,Điều chỉnh lần 174,Giao dịch hoán đổi,1.500.000,0,15.000.000.000,0,số 01/2014/GCNETF-VSD-174,19/12/2017
176,Điều chỉnh lần 175,Giao dịch hoán đổi,1.200.000,0,12.000.000.000,0,số 01/2014/GCNETF-VSD-175,22/12/2017
177,Điều chỉnh lần 176,Giao dịch hoán đổi,3.700.000,0,37.000.000.000,0,số 01/2014/GCNETF-VSD-176,25/12/2017
178,Điều chỉnh lần 177,Giao dịch hoán đổi,1.400.000,0,14.000.000.000,0,số 01/2014/GCNETF-VSD-177,26/12/2017
179,Điều chỉnh lần 178,Giao dịch hoán đổi,1.400.000,0,14.000.000.000,0,số 01/2014/GCNETF-VSD-178,27/12/2017
180,Điều chỉnh lần 179,Giao dịch hoán đổi,3.000.000,0,30.000.000.000,0,số 01/2014/GCNETF-VSD-179,28/12/2017
181,Điều chỉnh lần 180,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-180,29/12/2017
182,Điều chỉnh lần 181,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-181,02/01/2018
183,Điều chỉnh lần 182,Giao dịch hoán đổi,900.000,0,9.000.000.000,0,số 01/2014/GCNETF-VSD-182,04/01/2018
184,Điều chỉnh lần 183,Giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 01/2014/GCNETF-VSD-183,05/01/2018
185,Điều chỉnh lần 184,Giao dịch hoán đổi,2.700.000,0,27.000.000.000,0,số 01/2014/GCNETF-VSD-184,08/01/2018
186,Điều chỉnh lần 185,,3.500.000,0,35.000.000.000,0,01/2014/GCNETF-VSD-185,09/01/2018
187,Điều chỉnh lần 186,,3.000.000,0,30.000.000.000,0,01/2014/GCNETF-VSD-186,10/01/2018
188,Điều chỉnh lần 187,Giao dịch hoán đổi,1.700.000,0,17.000.000.000,0,số 01/2014/GCNETF-VSD-187,11/01/2018
189,Điều chỉnh lần 188,Giao dịch hoán đổi,3.500.000,0,35.000.000.000,0,01/2014/GCNETF-VSD-188,12/01/2018
190,Điều chỉnh lần 189,Giao dịch hoán đổi,18.900.000,0,189.000.000.000,0,số 01/2014/GCNETF-VSD-189,15/01/2018
191,Điều chỉnh lần 190,Giao dịch hoán đổi,5.900.000,0,59.000.000.000,0,số 01/2014/GCNETF-VSD-190,16/01/2018
192,Điều chỉnh lần 191,Giao dịch hoán đổi,11.900.000,0,119.000.000.000,0,số 01/2014/GCNETF-VSD-191,17/01/2018
193,Điều chỉnh lần 192,Giao dịch hoán đổi,9.300.000,0,93.000.000.000,0,số 01/2014/GCNETF-VSD-192,18/01/2018
194,Điều chỉnh lần 193,Giao dịch hoán đổi,5.500.000,0,55.000.000.000,0,số 01/2014/GCNETF-VSD-193,19/01/2018
195,Điều chỉnh lần 194,Giao dịch hoán đổi,21.100.000,0,211.000.000.000,0,số 01/2014/GCNETF-VSD-194,22/01/2018
196,Điều chỉnh lần 195,Giao dịch hoán đổi,7.000.000,0,70.000.000.000,0,số 01/2014/GCNETF-VSD-195,23/01/2018
197,Điều chỉnh lần 196,Giao dịch hoán đổi,5.100.000,0,51.000.000.000,0,số 01/2014/GCNETF-VSD-196,26/01/2018
198,Điều chỉnh lần 197,Giao dịch hoán đổi,1.500.000,0,15.000.000.000,0,số 01/2014/GCNETF-VSD-197,30/01/2018
199,Điều chỉnh lần 198,Giao dịch hoán đổi,4.300.000,0,43.000.000.000,0,số 01/2014/GCNETF-VSD-198,01/02/2018
200,Điều chỉnh lần 199,Giao dịch hoán đổi,2.000.000,0,20.000.000.000,0,số 01/2014/GCNETF-VSD-199,02/02/2018
201,Điều chỉnh lần 200,Giao dịch hoán đổi,4.900.000,0,49.000.000.000,0,số 01/2014/GCNETF-VSD-200,05/02/2018
202,Điều chỉnh lần 201,Giao dịch hoán đổi,9.500.000,0,95.000.000.000,0,số 01/2014/GCNETF-VSD-201,06/02/2018
203,Điều chỉnh lần 202,Giao dịch hoán đổi,3.900.000,0,39.000.000.000,0,số 01/2014/GCNETF-VSD-202,07/02/2018
204,Điều chỉnh lần 203,,1.000.000,-4.100.000,10.000.000.000,-41.000.000.000,01/2014/GCNETF-VSD-203,08/02/2018
205,Điều chỉnh lần 204,,800.000,-3.000.000,8.000.000.000,-30.000.000.000,01/2014/GCNETF-VSD-204,09/02/2018
206,Điều chỉnh lần 205,Giao dịch hoán đổi,1.400.000,0,14.000.000.000,0,số 01/2014/GCNETF-VSD-205,12/02/2018
